,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
COLEC10,8.723595445774325,-1.5063423511465932,13.519728482226432,1.2039452747464787e-38,2.1691482015107307e-34,75.64371819605256,77.51355860517279,True,True,2,False,True,3
KISS1,8.602744408159436,-1.404731609481411,12.144102145210194,6.130741178872222e-32,5.5228781909870415e-28,60.780076808124036,62.76348346802128,True,True,2,False,False,2
LRRC17,8.25186053282411,1.1444386601582628,11.19859132933691,1.2097978490043621e-27,7.265642615170531e-24,51.46497884471471,53.27888548517877,True,True,2,False,False,2
OXTR,6.386183186044054,2.350458464594708,10.93421193452112,1.7192476591591143e-26,7.743921268767441e-23,48.857772574801075,50.9125489556802,True,True,2,False,False,2
TNFSF4,6.250351807158851,1.3278421023684408,10.88398210371533,2.83059639041988e-26,1.0199771033238996e-22,48.28130434071042,50.63709186654645,True,True,2,True,True,3
PSG5,7.672258253324386,0.25069977409002747,10.786546814744376,7.407493527066932e-26,2.2243468479527485e-22,47.38521632066593,49.85740872482738,True,True,2,False,True,3
C5orf46,7.8591508725200665,-1.3980958382401985,10.429868406228392,2.363371707528509e-24,6.082981150648735e-21,43.893744896491626,46.54879205623448,True,True,2,False,False,2
CEMIP,7.912585238559804,2.789956404807434,9.982060935194344,1.5990733991754371e-22,3.6013131791179813e-19,40.12915604036901,42.46781821596071,True,True,2,False,False,2
KRT34,7.445296522740414,-1.4520297120566361,9.957553342748762,2.005191933031398e-22,4.014171450825189e-19,39.570446680236685,42.35928580421484,True,True,2,False,False,2
KCTD16,7.163775948551077,0.33590137327405845,9.768121945430464,1.1355362604919546e-21,2.045895680528355e-18,38.08136448100312,40.730695994697314,True,True,2,False,False,2
BDKRB1,6.347495613102781,0.3755997323897951,9.635900895314263,3.7478251875628346e-21,6.1385969458472354e-18,36.86907638826854,39.63193546829459,True,True,2,False,False,2
NPTX1,7.093966085770704,0.9750597070157891,9.560252707527264,7.376593224295938e-21,1.1075340010178326e-17,36.31873445076409,39.041810657739575,True,True,2,False,True,3
CCN4,7.479880176046176,-0.5045647818300613,9.43833214164502,2.176595161362354e-20,3.016593463251194e-17,35.20493227387872,38.039818378475054,True,True,2,False,False,2
PAPPA2,7.052623054936219,0.002865431089761587,9.298207025511324,7.441853259053776e-20,9.577133583455133e-17,34.03338077681178,36.88456824209538,True,True,2,False,False,2
PLAT,7.819253077516559,3.7310398672962273,9.261611590569801,1.023345291434555e-19,1.1778041548474703e-16,33.90349255381957,36.6777096687485,True,True,2,False,True,3
CHRM2,7.317452634260748,-0.9118852677954747,9.259097207155659,1.0459491856335419e-19,1.1778041548474703e-16,33.6469079934374,36.6777096687485,True,True,2,False,False,2
SCN9A,5.784178404796766,2.814176232801119,9.11047846800037,3.7715644596416488e-19,3.997192757021387e-16,32.55824287754595,35.45576918391394,True,True,2,False,False,2
ADAMTS12,8.410146575325467,1.2017288864967264,9.03196171624178,7.374783899483524e-19,7.38174897316637e-16,31.94776153022219,34.8423508891357,True,True,2,False,False,2
FOXE1,7.2031222690947745,-1.0168552659056558,9.021394640949111,8.06830678084956e-19,7.650878066871923e-16,31.670266909987667,34.806541066669745,True,True,2,False,False,2
IL1A,7.1513888779213355,-0.1582734123972068,8.929824623147224,1.751537677430775e-18,1.5778727167135138e-15,31.0016922731094,34.08269883688508,True,True,2,False,True,3
SERPINB7,7.73759962873835,-0.49404296103483863,8.906733979219625,2.1274094495867552e-18,1.825216002533551e-15,30.830839415608033,33.937078057327305,True,True,2,False,False,2
BMPER,6.567522726033494,0.8961928157901193,8.822414040979687,4.311262616911174e-18,3.377218198647331e-15,30.167308924563276,33.32172404243281,True,True,2,False,False,2
INSYN2B,6.491857298686527,-0.1689421407636994,8.7690781628895,6.7199673832534765e-18,5.044735514336579e-15,29.661690343863683,32.92043116778431,True,True,2,False,False,2
FOXL1,6.944198301086757,-0.05034991169771519,8.728644541373253,9.393793924238382e-18,6.769919405320117e-15,29.386844630861404,32.62628721273681,True,True,2,False,False,2
ST6GALNAC5,6.867115143917411,-0.009877555712188742,8.673144905134695,1.4845451793094208e-17,1.0287327113699167e-14,28.94680405222431,32.20786363452145,True,True,2,True,False,2
PAPPA,8.125301829458362,2.725110456945917,8.657593837898732,1.6869082819567573e-17,1.1256676487412926e-14,28.959052353583125,32.117814976743475,True,True,2,False,False,2
TNFRSF11B,6.739563572393915,1.5170461130679724,8.600502913171159,2.6922231172000987e-17,1.732349425092649e-14,28.442761020788733,31.686712765535212,True,True,2,False,True,3
COL4A4,5.58820490316095,1.318996428977963,8.44944802289794,9.15723501089634e-17,5.689169075562735e-14,27.20983577313016,30.497627096856455,True,True,2,False,False,2
MRGPRX3,6.219672604148555,-0.9927124787603682,8.434599800900237,1.0317897396675846e-16,6.196585246530292e-14,26.9205844200663,30.412192928281943,True,True,2,False,False,2
TEK,7.092967686669748,0.7268295625697048,8.350274756975368,2.0251051712394406e-16,1.1769780603297097e-13,26.491007450349613,29.770656021149787,True,True,2,True,True,3
CDH10,6.563627596672184,-0.2194949338005245,8.33207595017032,2.340568682027561e-16,1.3178133107528304e-13,26.274050749230863,29.657632428737802,True,True,2,True,True,3
BDNF,6.261460002346894,1.894171169489028,8.315022169525314,2.6799884373159886e-16,1.463192475003702e-13,26.233834682795873,29.552985533676384,True,True,2,False,True,3
PDE5A,5.205130447911584,4.000348552386857,8.30600376148591,2.8786713706176746e-16,1.5199967202825043e-13,26.192931787448313,29.514898031775616,True,True,2,False,False,2
CSNK2A3,6.226970943321851,-1.3319850165518623,8.302797270672224,2.952760460114761e-16,1.5199967202825043e-13,25.861909131864884,29.514898031775616,True,True,2,False,False,2
IL6,6.82878645773622,0.1478124850096995,8.239475996181534,4.8687872824962875e-16,2.4366927907982113e-13,25.614862787020087,29.042964502628674,True,True,2,False,False,2
RPSA2,5.365376003831724,0.27653705832614917,8.224620784679058,5.472277607660788e-16,2.6647033961412003e-13,25.399748453557287,28.9535134535057,True,True,2,False,False,2
ESM1,6.87654444622393,-0.7470526548196965,8.195121377094715,6.897778496337345e-16,3.238989341832298e-13,25.22559256959208,28.758344859312356,True,True,2,False,False,2
PRSS35,6.361587461004126,-0.5554172566662064,8.193039923026511,7.011188562549793e-16,3.238989341832298e-13,25.180669459580642,28.758344859312356,True,True,2,False,True,3
