,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
FUT5,9.302800487015746,-1.899840518659834,11.172630834835253,1.5751659185937727e-27,1.540760350900627e-23,50.24328712501121,52.52718110993315,True,True,2,True,False,2
SNX32,6.395928706236935,1.2392600819859032,11.163172305670482,1.733236234772065e-27,1.540760350900627e-23,50.20405776144216,52.52718110993315,True,True,2,False,False,2
WNT16,8.30992755079834,-1.0285731372191536,10.127287252046617,4.14705825251771e-23,2.457684955717079e-19,40.61878963637364,42.84989693494336,True,True,2,False,False,2
TRPA1,9.08199959705914,0.3688227343095373,10.012378862935412,1.2087163944908908e-22,5.372442194413387e-19,39.902893314036405,42.0678341769424,True,True,2,False,False,2
NEDD8-MDP1,7.320245687738512,-0.07684789404363188,9.522369562385135,1.0343508963438693e-20,3.6779449172195303e-17,35.41446152126479,37.84159243111495,True,True,2,False,False,2
CHRM2,8.891015344925693,-0.8277430119556599,9.309392661066504,6.753794410725462e-20,2.001261847138133e-16,33.74714523603292,36.147583582724316,True,True,2,False,False,2
RBM14-RBM4,5.177267240554912,2.367613900809527,9.133823016979894,3.088533839477228e-19,7.844434733152233e-16,32.24918516047225,34.781557158725946,True,True,2,False,False,2
ZNF575,5.228950150646984,0.8898147558652324,8.980503059735375,1.1420351767375148e-18,2.458518344265211e-15,30.810502082282966,33.63921752550055,True,True,2,False,False,2
RNF103-CHMP3,6.2916652902699015,0.27500676519979317,8.97034860118776,1.244539349703971e-18,2.458518344265211e-15,30.8099271624207,33.63921752550055,True,True,2,False,False,2
URGCP-MRPS24,7.549089344900002,-1.1858576766235518,8.83998412034894,3.7246658735619376e-18,6.622083456605769e-15,29.7466109992289,32.648366352934545,True,True,2,False,False,2
PDE5A,6.7170418448489775,4.082507631427275,8.76655352972123,6.865310832635908e-18,1.1096214663039437e-14,29.589351727137007,32.1321723661012,True,True,2,False,False,2
LRRD1,6.923377273768152,0.5999213211673641,8.711639900131955,1.08153311806463e-17,1.602381442172588e-14,28.90018598155507,31.76470037788446,True,True,2,False,False,2
SPDYA,5.316244634923868,1.185212177991729,8.344020785647563,2.1292540360940566e-16,2.912000577516633e-13,25.980125172563977,28.864765880265153,True,True,2,False,False,2
H3C4,7.546469159261278,-1.2971091912370498,8.294919202966817,3.1440125155487104e-16,3.992671322424323e-13,25.579357111479016,28.54914569767189,True,True,2,False,False,2
CTAG2,7.829562962064706,-1.7178928376644202,8.193181329942574,7.005838271953612e-16,8.303786575804217e-13,24.810132528303487,27.81689458420167,True,True,2,False,False,2
YJEFN3,5.300394580187982,2.144253329067478,8.165803746819698,8.679037710298854e-16,9.644038215712707e-13,24.76570293353519,27.667266285970218,True,True,2,False,False,2
PALM2AKAP2,7.641987199686611,1.853855365011196,8.124371845410664,1.198733054629666e-15,1.253663234015343e-12,24.610714821917135,27.404951263201536,True,True,2,False,False,2
H3C14,6.188260392962643,0.6287557884183518,7.896350091993209,6.911991151491794e-15,6.827127260131811e-12,22.761277788657058,25.71011713695546,True,True,2,False,False,2
H3C15,6.182195791485983,0.6287446714514558,7.886028214353388,7.474878747330101e-15,6.9945194341464135e-12,22.68734845530136,25.68589421150833,True,True,2,False,False,2
AMIGO3,6.7118175005899054,-0.7560743046081896,7.798978815548626,1.4415245034711096e-14,1.2694487200270219e-11,21.969633711188372,25.089853295422323,True,True,2,True,False,2
TNFSF4,5.845144993121411,1.4079628158686786,7.793731589286419,1.499433214498423e-14,1.2694487200270219e-11,22.073263061311245,25.089853295422323,True,True,2,True,True,3
MROH8,4.467195461765245,1.5409630124502052,7.745296086331257,2.1545097552157378e-14,1.7411376789991183e-11,21.600640496256606,24.77389728486209,True,True,2,False,False,2
BDKRB1,6.473857763252348,0.45798755458048096,7.6855828057386635,3.3593387720183774e-14,2.596768870770206e-11,21.29091680613438,24.374168092762744,True,True,2,False,False,2
TLR9,7.458347043778911,-1.247352797721621,7.532525479901237,1.0346399553674341e-13,7.66452656936567e-11,20.16510573120957,23.291833277767374,True,True,2,True,True,3
RPS10-NUDT3,6.120046111222152,2.8149488034655494,7.48910486783678,1.4184868554445372e-13,1.008771112117937e-10,20.06448460725947,23.017118060568162,True,True,2,False,False,2
ANO4,7.422341310260935,-0.03241692449858889,7.467424306447128,1.659553983167148e-13,1.1348157794895662e-10,19.82891594920477,22.89938060100036,True,True,2,False,False,2
SERINC4,6.819581947892288,-1.366830886204617,7.385025092351146,3.00256601528096e-13,1.9771341179881552e-10,19.073035711742794,22.34420254890871,True,True,2,False,False,2
COLEC10,6.903967553491867,-1.428584034934757,7.361995627162251,3.5400974471778287e-13,2.2478354469062362e-10,18.924148444891056,22.215883200363052,True,True,2,False,True,3
GDF9,5.651941955868869,-0.0037460213439827147,7.272149954421885,6.7016880918608e-13,4.108596985696316e-10,18.359943824784153,21.612769325721583,True,True,2,False,False,2
H4C11,6.0003704127906445,1.69832972945257,7.2195410282288375,9.707313855658038e-13,5.752877767991475e-10,18.19057983379456,21.276150718940414,True,True,2,False,False,2
BDNF,6.810786097200699,1.976144229301828,7.203421950934839,1.0869210141198983e-12,6.233667325818603e-10,18.13867211801724,21.195886114501345,True,True,2,False,True,3
LRRC17,7.097134626907919,1.2226537063614824,7.147660687286853,1.6043776468540043e-12,8.91382193231792e-10,17.751088034498814,20.83824783179714,True,True,2,False,False,2
FBXL13,5.019301425838618,1.1510169596175495,7.1206489089067,1.9355845966100268e-12,1.0428108649433233e-09,17.434757457336048,20.68134601491377,True,True,2,False,False,2
TRHDE,6.371763240408766,1.708147086411787,7.101734074099711,2.206606975895555e-12,1.153860747777855e-09,17.439471904073848,20.580152345311582,True,True,2,True,True,3
PGAM4,6.710886941740511,-1.6325391382575245,7.070274680653912,2.742137737538039e-12,1.3929276238768229e-09,16.966829225373196,20.391858100514476,True,True,2,False,False,2
ARPC4-TTLL3,5.267307112096644,1.7845063162032029,7.0644199667097745,2.8550274270127872e-12,1.4099870173572317e-09,17.142490809900103,20.379685340146786,True,True,2,False,False,2
CCDC68,6.005109605954801,1.2646357818490497,7.050401177094943,3.1442109401086495e-12,1.5108358460592345e-09,17.065879410027485,20.310602798829994,True,True,2,False,False,2
FOXF1,7.43944618254936,-0.4032083900678076,7.0153652658992165,3.998644610101862e-12,1.8708395400789736e-09,16.82649644292353,20.096878554914785,True,True,2,False,False,2
SCN9A,5.722297866775314,2.8936587137235685,6.968099248594107,5.521208864412527e-12,2.516963394881803e-09,16.59993870184007,19.800212664052818,True,True,2,False,False,2
ANKUB1,5.744323736095436,0.4878147452799322,6.957740237590096,5.924239637553542e-12,2.6331764129016108e-09,16.40039248696798,19.755074957954466,True,True,2,False,False,2
GPR39,6.908202784617202,0.35563558751255947,6.827765738784644,1.4228163632027946e-11,6.1698175905810935e-09,15.6538593425174,18.903596563391403,True,True,2,False,True,3
SRRM5,5.315096185596197,0.19021757193031225,6.66426047461636,4.196144828764772e-11,1.7762680693002116e-08,14.51534287301897,17.84616617085138,True,True,2,False,False,2
TMED7-TICAM2,5.449022105221458,1.6856076096267714,6.613264208694633,5.851847459224867e-11,2.4195347901757887e-08,14.32681028548611,17.537105457727925,True,True,2,False,False,2
TNFRSF11B,6.697499644526961,1.5970839250947522,6.6034008331939225,6.239031200265784e-11,2.520993993398304e-08,14.312775369798079,17.496027478376035,True,True,2,False,True,3
