,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
WNT16,8.821424857103016,-1.0153013782373588,13.463897276776324,2.2985146193188808e-38,4.071818648123397e-34,74.92302448981503,76.88380341985658,True,True,2,False,False,2
RSPO1,8.890379265830271,-1.4543068312484064,13.032260331207192,3.2782656966010837e-36,2.90372384076441e-32,70.08694421229289,72.61672897952434,True,True,2,False,False,2
CCDC68,7.701736819948427,1.2768463137171557,11.946518514689727,5.082348182346894e-31,3.001126601675841e-27,58.83464663367746,61.07080975877438,True,True,2,False,False,2
TNFRSF11B,8.961269324590571,1.6113788093810382,11.883794636955322,9.898880597002363e-31,4.383966744397421e-27,58.35607804173168,60.69184354689806,True,True,2,False,True,3
TRPA1,8.825518936017684,0.37889025992323444,11.76507374703784,3.470615064000493e-30,1.2296389171753747e-26,57.007583930090846,59.660491854831044,True,True,2,False,False,2
CHRM2,8.874399710441244,-0.8162874992783417,11.350373447010293,2.573464734413746e-28,7.598154628356585e-25,52.727162496948026,55.53672191910082,True,True,2,False,False,2
COLEC10,7.845219426632211,-1.4156184492536672,10.922086049872352,1.936535363027663e-26,4.900817708005007e-23,48.35106182880926,51.370055068484554,True,True,2,False,True,3
PGAM4,7.746036293311214,-1.6194179213612838,10.826126107225337,5.008172742479862e-26,1.1089972516628845e-22,47.38531344715975,50.55341581571585,True,True,2,False,False,2
ADAMTS19,8.586977761808182,-0.8245842290104257,10.790960904592547,7.082358165151624e-26,1.3940441655073445e-22,47.29843472546682,50.32466305145914,True,True,2,False,False,2
MMP1,9.980373000042674,0.5909005194436675,10.522726470167047,9.667851916887893e-25,1.7126599670766903e-21,45.02153387813175,47.81623925465165,True,True,2,False,False,2
FKBP1C,7.641774699009808,-1.1285930043760177,10.406525619197598,2.9511403839424952e-24,4.752677445594664e-21,43.56558481889758,46.795578820875456,True,True,2,False,False,2
FOXF1,8.490113779140328,-0.39087286192769577,10.285032756167954,9.377632082615459e-24,1.3843729361961072e-20,42.64362940581966,45.72645457641451,True,True,2,False,False,2
PDE5A,6.462769311338309,4.0893601870850365,10.21296521602606,1.8521840344210322e-23,2.523956936136045e-20,42.1651805449522,45.125873977100255,True,True,2,False,False,2
