,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
PGAM4,9.989045868558515,-1.5973859234099304,21.48008786143817,8.909270696536419e-86,1.5718626289899203e-81,182.742324981913,186.0571312284678,True,True,2,False,False,2
NACA2,10.211336932732376,-1.6758637749849954,21.05973006877327,5.11721138764676e-83,4.5141480256125894e-79,176.57282974140472,180.39700587611264,True,True,2,False,False,2
PIGY,9.324374294331397,-1.6776732895714501,18.584776948787677,2.793186652362799e-67,1.6426730702545622e-63,140.9084865918011,144.5665360227813,True,True,2,False,False,2
S100A2,11.47486190347703,1.4948824796385067,18.13861758340312,1.5088901566608675e-64,6.655337258491921e-61,135.55854279692713,138.56227154461442,True,True,2,False,False,2
KRT6B,10.930407080468106,-1.0265869525105995,17.836904661934913,1.0148573588480642e-62,3.5810256764312795e-59,131.07123476502795,134.57687122547344,True,True,2,False,False,2
LGALS7B,9.84640255371194,-1.3159803398717014,17.051608241899434,4.826794310295402e-58,1.419318866942363e-54,120.29553094198806,123.98941793631167,True,True,2,False,False,2
KRT17,11.713064087856456,0.9493901771125506,16.93282984700954,2.4024777271102065e-57,5.77946738049248e-54,119.20355691899253,122.58528349194385,True,True,2,False,False,2
PABPC3,8.651445987985756,-0.5692971654840682,16.9263836554815,2.620627956920016e-57,5.77946738049248e-54,118.56320820559623,122.58528349194385,True,True,2,False,False,2
KRT6A,11.886002428299633,-0.6091909675341327,16.8656216477831,5.940043571067082e-57,1.164446541381517e-53,118.19065649424478,121.88476402632463,True,True,2,False,False,2
CSF2,8.875666405560937,-1.3813798615096058,16.837501914150153,8.669697864393331e-57,1.5295947942149153e-53,117.27418879068385,121.61200706873889,True,True,2,False,False,2
UQCRHL,6.8708922908487065,1.9645571603346148,16.62511606856124,1.489708735088508e-55,2.3893573830151404e-52,114.7431258760729,118.86340038330049,True,True,2,False,False,2
