,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ZNF593,9.804730851476046,-5.316974421269656,50.59888477507815,4.4058863943647354e-103,7.895348418701606e-99,218.041231142109,225.8896504281122,True,True,2,False,False,2
ZBTB9,9.712063647243422,-5.318894201660931,48.98617784326707,6.949887381622777e-101,6.227099093934008e-97,213.13589898474024,221.52184343106728,True,True,2,False,False,2
CYB5D1,6.268724408959793,-0.23754222634544936,47.143348614676654,2.704141271532674e-98,1.6152737195288503e-94,211.26709064274334,215.9634943133504,True,True,2,False,False,2
RBM34,6.623441628349708,0.22326542471398442,45.898390305067835,1.7047393449964926e-96,7.6372322655842865e-93,207.67973894484228,212.10737837980562,True,True,2,False,False,2
ZC3H11A,7.433812657745927,-0.24388024645716042,44.390154037050586,2.941373819577982e-94,1.0541883769367487e-90,202.75029238964288,207.17988720956805,True,True,2,False,False,2
CSNK2A3,8.323033180327155,-2.3455779168986446,42.16952835563435,7.613301062507116e-91,2.273839250668792e-87,195.0287589817963,199.50343338777157,True,True,2,False,False,2
ARL2BP,5.868556997817315,1.1247056692461834,42.021468661032564,1.301449911063094e-90,3.3317117723215205e-87,194.78838735767565,199.1214168728237,True,True,2,False,False,2
GJD3,9.284779125370697,-5.246179640074688,36.725031277076695,8.316414997010062e-82,1.862876959330254e-78,171.76762582161803,178.97951520847167,True,True,2,False,True,3
H2AC17,8.987419261521406,-5.336521910576216,36.37859561115219,3.3915612999105297e-81,6.752975388266299e-78,169.14364919815736,177.69165404751246,True,True,2,False,False,2
DEXI,8.104101103010752,-2.901832500955864,36.17998672455023,7.628107830676447e-81,1.3669569232572194e-77,172.2203075031691,176.98646511517828,True,True,2,True,False,2
ZBED6,7.715623365832201,-0.8088154663949558,35.68381860776926,5.8670238784775104e-80,9.557915263846998e-77,170.95614698496976,175.0416825258939,True,True,2,False,False,2
AMIGO3,8.912609830926593,-5.338127075022638,35.62504927492882,7.481523285504996e-80,1.1172408106354127e-76,166.09423628682242,174.88560498373496,True,True,2,True,False,2
NACA2,7.501032932510583,-1.1310411539049499,34.35087136589345,1.571576311910193e-77,2.1663575007254354e-74,165.46546245814392,169.61824969548024,True,True,2,False,False,2
