,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
H3C15,12.150308417847,-5.442242838309428,65.71620890482458,4.698871804932891e-120,8.800517003458812e-116,253.68594403291775,264.92506031715783,True,True,2,False,False,2
H3C14,12.126490044649021,-5.414355181098763,62.84545606795839,5.54455752881698e-117,5.1922008978606604e-113,247.59550217272678,258.54495783594115,True,True,2,False,False,2
AMIGO3,11.409621290133988,-5.499763587133976,61.80333397143875,7.781868966524551e-116,4.858220795801277e-112,244.1168287552668,256.30885813584746,True,True,2,True,False,2
RGPD5,10.543739111805944,-3.47023756455745,47.839280969600765,1.7120287842608914e-98,8.016146775105559e-95,209.45394692301096,216.6641259799918,True,True,2,False,False,2
RGPD6,11.421604539459146,-4.3503924496415065,45.14881600192654,1.2038021495869323e-94,4.509202091922731e-91,201.37485420629935,208.02912324434678,True,True,2,False,False,2
PYURF,9.55324417698251,-2.880546621167126,45.07313553205113,1.5544621272888722e-94,4.8522535303322145e-91,200.92215599745327,207.9558002199937,True,True,2,False,False,2
MIF,7.272657456515182,0.27502732128179275,43.153387056273786,1.153766386422012e-91,3.0869843787568377e-88,194.73677501744802,201.50029349830024,True,True,2,False,True,3
ZNF593,10.178797353832499,-5.514774183563626,42.93559635731457,2.480452576036354e-91,5.807049537073109e-88,190.10614826043778,200.86841556654335,True,True,2,False,False,2
EIF3CL,7.953354536173326,-0.6261721437404218,40.36366177717712,2.691655004831659e-87,5.601334065054682e-84,185.3024255782136,191.6941430162274,True,True,2,False,False,2
NPIPA8,9.386251849757938,-3.3967390452748125,38.342484197737186,5.647173757215169e-84,1.0576591729888292e-80,177.9056074643246,184.15074930071933,True,True,2,False,False,2
BCL2L2-PABPN1,8.26639725778425,-2.0584176935812324,38.29966088070464,6.663820865054938e-84,1.1346063725601267e-80,177.81742082238253,184.08052165705928,True,True,2,False,False,2
ZC3H11A,8.163360904290728,-0.40599936699896694,37.08797765480304,7.67230088981379e-82,1.1974543613776873e-78,173.51496168366583,179.4214393155433,True,True,2,False,False,2
SNURF,8.73684736460436,-1.1272024102469387,36.49608185560604,8.150692257222477e-81,1.1742639637347674e-77,171.2962821767542,177.13841062306727,True,True,2,False,False,2
SLX1B,8.424297670488295,-3.090950162742286,35.8878630146632,9.53683189641124e-80,1.2758237470563293e-76,167.92525116307655,174.7528750214318,True,True,2,False,False,2
BOLA2B,6.859077431511993,-0.9770838404704064,34.25703003135152,8.206463707947233e-77,1.0246590585742915e-73,162.11232334178632,168.06435185708835,True,True,2,False,False,2
ATG10,4.510640074588865,3.123475799413773,33.194938665688916,7.635655525070091e-75,8.938012020564859e-72,158.42875397468026,163.59581350017785,True,True,2,False,False,2
FAM156B,7.790561746985056,-2.4428594874728473,32.41597139437635,2.273515369859019e-73,2.504745256593504e-70,154.1313175997218,160.2627694741922,True,True,2,False,False,2
H4C11,11.717776715545966,-4.154821928823063,32.32587473286341,3.379387695929886e-73,3.516252897615046e-70,154.75501558195327,159.9235606046976,True,True,2,False,False,2
DEXI,8.771269239900022,-3.0785300449882467,32.2180867765445,5.4355052126517994e-73,5.3579777435660816e-70,153.71419988184195,159.50236989233912,True,True,2,True,False,2
ARL2BP,5.681480956983918,0.9743021691919411,31.911533592391837,2.1135517765285588e-72,1.979235561130169e-69,152.82406589981588,158.19566072666817,True,True,2,False,False,2
ZBTB9,9.403119832904158,-5.524234215003233,31.498590606221335,1.3365292710426558e-71,1.1919931770170428e-68,146.13666728210467,156.40015947894733,True,True,2,False,False,2
FUT5,11.13602417387084,-3.894804679751446,30.746876796564727,4.013672210344257e-70,3.416912128524436e-67,147.9267297720083,153.04446397377035,True,True,2,True,False,2
H4C3,10.085598132917138,-3.82051911643433,30.304553205508494,3.054513352633823e-69,2.48730350354256e-66,145.82824618535287,151.05941694422728,True,True,2,False,False,2
RBM34,5.981868060565229,0.05693218810925226,30.220576629066954,4.500848677409179e-69,3.5123497866331885e-66,145.2547652786432,150.71433086923295,True,True,2,False,False,2
NPIPA9,6.414697740881821,-1.1992388838054464,29.763706868688402,3.757889300172115e-68,2.8152603481169417e-65,142.53299973520603,148.63297630128832,True,True,2,False,False,2
C1QTNF5,9.868649070117018,-3.9246141551526574,29.674982169280604,5.689329577974982e-68,4.09828667945744e-65,142.87445111461372,148.25746204129933,True,True,2,False,False,2
ZACN,9.92911915406169,-3.0866346300766323,29.42858309445279,1.8080647479339446e-67,1.2541942468168462e-64,141.98203788045709,147.13895261963643,True,True,2,False,False,2
UTS2B,6.901269438719776,-1.0990996009793808,29.39823728453249,2.0857217995181516e-67,1.3951244136848379e-64,141.43862690496212,147.0324623548852,True,True,2,False,False,2
MGAT2,7.370978656829931,-0.11323645410749462,29.28694483130509,3.525085462186314e-67,2.2765974352168093e-64,141.26386329410283,146.54276397629548,True,True,2,False,False,2
SULT1A3,5.739394829879151,-0.4802137664500575,29.24816099653416,4.2338228448194944e-67,2.6431756020208103e-64,140.29374027362704,146.39346487778735,True,True,2,False,False,2
CYP51A1,6.29171321303364,1.14471044277013,28.415147414413234,2.254600896129807e-65,1.3621425865682307e-62,137.3008955825475,142.45121687427275,True,True,2,True,False,2
MFRP,10.047560690186986,-4.110618808517814,28.326431275903932,3.4586683091009923e-65,2.024293711286015e-62,136.71229283279092,142.05505491046193,True,True,2,False,False,2
WDR74,5.051909812611621,4.679695738084415,28.08499044222717,1.1133355300093777e-64,6.318685194407768e-62,135.85645001903762,140.91676461797468,True,True,2,False,False,2
MAGED4,10.629274628259568,-3.7873183023639037,27.767131734249254,5.241175305816394e-64,2.8871168324304485e-61,134.29732302051977,139.39743230431952,True,True,2,False,False,2
CTAG2,11.322747725093581,-5.281396117922378,27.399651736440408,3.1881218123448636e-63,1.7060095263830558e-60,132.41645191530003,137.6209485465425,True,True,2,False,False,2
POLR2J2,6.082137459060558,-0.38446308673444113,27.34283063813096,4.2206634345565543e-63,2.1958001518280475e-60,131.8544985101094,137.3685590656795,True,True,2,False,False,2
BOLA2,5.390794348914684,0.6340533549162977,26.756143920295333,7.816426582186959e-62,3.956590633994042e-59,129.22363332142083,134.4771377832251,True,True,2,False,False,2
