,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
PYURF,9.163475508626327,-2.826868129898883,51.09472729795156,2.640986802741646e-103,4.927289077875089e-99,221.50035111678457,226.36113525238088,True,True,2,False,False,2
ZC3H11A,8.20478582237825,-0.35443513321276854,45.44570330133117,1.948547116822327e-95,1.8177021779277077e-91,204.596622672956,208.9376702986442,True,True,2,False,False,2
EIF3CL,7.360514686595363,-0.5870112549559353,44.604103771576284,3.4132620650726307e-94,2.122707678268669e-90,201.78252275986313,206.4799658889844,True,True,2,False,False,2
FAM156B,8.039832366258288,-2.3885985399436787,41.52596525842312,1.8040641280164126e-89,8.414606109100553e-86,190.8341582357443,195.8923489791284,True,True,2,False,False,2
ARL2BP,5.787986698565194,1.012050857997671,39.00018491768806,2.2549475000787643e-85,8.414111101793901e-82,182.55304298104494,186.6820674360339,True,True,2,False,False,2
ZBTB9,9.615024188763675,-5.461151236995708,38.85012178145533,4.0109909264017433e-85,1.247217628564622e-81,177.3659943197617,186.28847735934315,True,True,2,False,False,2
CYB5D1,5.898633819831534,-0.3608183269201985,38.217422125350396,4.638652515155873e-84,1.2363334282180444e-80,178.82080418139543,183.99465735293745,True,True,2,False,False,2
RGPD5,8.588010823825327,-3.43899369222971,38.062918659835034,8.475056255679254e-84,1.976489057027598e-80,177.73527244579017,183.52548537232494,True,True,2,False,False,2
RGPD6,9.49188171452839,-4.313736233998929,37.91575923970017,1.5074373790747165e-83,3.1249176868218872e-80,177.2682812136961,183.06739949689918,True,True,2,False,False,2
PGAM4,9.713066109187627,-3.167143881379609,37.44975805598061,9.447620066277076e-83,1.7626424757653143e-79,176.77539102307958,181.33740825677882,True,True,2,False,False,2
U2AF1,6.95464039819643,-0.5501280360057502,34.029795519745186,1.187570210285703e-76,2.01422703757276e-73,163.03607009702532,167.38847627094384,True,True,2,False,False,2
PSG9,10.837435052361283,-5.081630051798675,33.15444602547747,5.133776917378673e-75,7.981739662294493e-72,159.25427875071037,163.70897030507493,True,True,2,False,True,3
PSG1,11.251776068603853,-5.129198590151616,32.614126115365686,5.447354708337013e-74,7.817792061034128e-71,157.1860432176577,161.42713943302323,True,True,2,False,True,3
PSG6,9.775809953313589,-5.345273674998012,30.563751362183858,5.552675475566382e-70,7.399733310545856e-67,146.192228417707,152.27175727015577,True,True,2,False,True,3
DEXI,7.959930782100721,-3.037371291570224,29.402113659087885,1.2595293569194287e-67,1.5666026141363854e-64,141.93622147482165,146.91653661700062,True,True,2,True,False,2
PSG8,9.400602925254756,-5.268807719314887,29.25992646052193,2.471252784928308e-67,2.8816352005254648e-64,139.74483710451491,146.30708804063576,True,True,2,False,True,3
ERCC5,5.141406764291791,1.7646391953090885,28.61736593551737,5.343330211534482e-66,5.864147750388167e-63,139.35284201130304,143.2940036981799,True,True,2,False,False,2
PSG5,13.144562195097276,-4.413103209020218,28.113134327124502,6.157402761036859e-65,6.046245437508667e-62,137.0306835566308,140.9608382750746,True,True,2,False,True,3
H2BC12L,9.217692611119855,-5.388874554429665,28.066597378465193,7.72689203855389e-65,7.208031238164996e-62,133.57809198110294,140.7850799115155,True,True,2,False,False,2
FKBP1C,6.4726697967191305,-0.7980041282148491,27.92515162836091,1.5430254860362112e-64,1.3708679282370282e-61,135.69103518996252,140.14224660912794,True,True,2,False,False,2
SMIM11,9.96945930202249,-4.763775010543496,26.79252360908371,4.263245821768569e-62,3.4582337955102696e-59,130.00222619825487,134.61176249163537,True,True,2,True,False,2
SERF1A,6.872618644671972,-2.4045884337251753,26.75178923187904,5.2330477704459e-62,3.9457963302986764e-59,128.88209256584958,134.4798696945976,True,True,2,False,False,2
PSG11,8.873090554686778,-5.422462192955553,26.749740980104907,5.287286715842146e-62,3.9457963302986764e-59,126.52280073266819,134.4798696945976,True,True,2,False,True,3
KRTAP1-5,11.964973140727789,-4.39243191089612,26.445428502260253,2.4601174281593394e-61,1.765323494506492e-58,128.88847803967315,132.98160143705715,True,True,2,False,False,2
PSG3,9.466284945207327,-5.1882408961183835,25.374712114779083,6.005418179411264e-59,4.09420822513599e-56,121.82977853794664,127.5351918606715,True,True,2,False,True,3
NOMO3,5.520755663018704,2.3254080680261833,25.370308891673833,6.144494307970614e-59,4.09420822513599e-56,123.44525233259927,127.5351918606715,True,True,2,True,True,3
PSG2,9.642633423192997,-5.357198769080615,25.318490833235384,8.045873599415538e-59,5.176271163596403e-56,121.55646595590281,127.30068026320102,True,True,2,False,True,3
NUDT4B,8.454917027677327,-5.449694314740105,24.88826010743009,7.64211499994759e-58,4.752631318467406e-55,116.61761930743694,125.08348168822354,True,True,2,False,False,2
ZSCAN32,4.71566968010916,0.10619259601332942,24.400429406645912,1.0085303918506797e-56,6.069726297018753e-54,117.64534309705033,122.5362815087244,True,True,2,False,False,2
PTCHD4,6.40306093006686,-0.317581092540932,23.85025136782153,1.917457963103466e-55,1.1179379130506677e-52,115.37043545581636,119.62293899644348,True,True,2,False,False,2
ZC3H11B,6.255235402096593,-1.7787421931879532,23.764863481951988,3.038788757582655e-55,1.7180206621278665e-52,113.9542362239371,119.19325198535088,True,True,2,False,False,2
MAGED4,9.049440464006423,-3.7496083385675485,23.747753127158102,3.332880691700159e-55,1.8288692666191137e-52,114.61476132603028,119.13072694690132,True,True,2,False,False,2
ACKR4,7.919202956517471,0.3846801553084452,23.072508749084204,1.3146320590173263e-53,7.007740092881788e-51,111.31667841036507,115.48482447695292,True,True,2,False,False,2
CCZ1,2.7441867083558766,3.2212623818102024,22.607034060379313,1.711891083061946e-52,8.63209511802344e-50,108.76841676158827,112.97376740257367,True,True,2,False,False,2
MAGED4B,8.958440672457675,-3.610760536166365,22.457564758654936,3.925781662823227e-52,1.8780335508536652e-49,107.72353961586792,112.19644431087745,True,True,2,False,False,2
