,logFC,AveExpr,t,P.Value,adj.P.Val,B,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
CD99,7.969869866523163,0.45807091968761515,17.719398459142713,1.3059063892196004e-63,2.284552637300769e-59,132.23014596274635,135.0263502638333,True,True,2,True,False,2
FGF5,6.957942900444983,0.5094348615667321,15.194681238860179,2.0306566898630666e-48,1.7762154066232243e-44,98.17806282986162,100.73925916700969,True,True,2,False,False,2
NPTX1,9.087712049554808,0.9433791161594542,14.996775831360326,2.692085099154895e-47,1.569844557487191e-43,95.66718918850479,98.5601823922553,True,True,2,False,True,3
TRPA1,8.267846599497442,0.8323530081990701,13.752809057292694,1.7305482580892e-40,7.568552806753116e-37,80.40185219506179,83.171646566408,True,True,2,False,False,2
CHRM2,7.252315376145523,0.5978787893266325,13.38832864375492,1.4100371464368833e-38,4.933437967953367e-35,76.11878012267847,78.99444215319429,True,True,2,False,False,2
RAB3B,8.158883881648723,1.6262438549475642,13.365842539061708,1.8443731438857386e-38,5.377577296522851e-35,75.85988553354426,78.90824029867233,True,True,2,False,False,2
ITGA11,6.9177341760029005,1.4928613043093544,12.25385915067197,6.951190772844052e-33,1.520051642251673e-29,63.363995871558856,66.35622338738071,True,True,2,True,True,3
FLNC,9.662777508031756,1.736293263549493,12.135760429036011,2.5812474700674805e-32,5.0173714712622786e-29,62.08863257557842,65.16206151155829,True,True,2,False,False,2
CEMIP,7.770288975615004,1.4498972194606476,12.121427695600225,3.0246750499600836e-32,5.29136653240017e-29,61.936919518706304,65.1088911606118,True,True,2,False,False,2
DCBLD2,7.272363758809181,2.6454051530250613,12.084893113767853,4.527756255399526e-32,7.200778902905391e-29,61.54645688023529,64.80077849569737,True,True,2,True,True,3
GALNT5,8.592724482287165,1.8743078227895345,11.735531125543531,2.0407889748282433e-30,2.7462740250496375e-27,57.844305234190074,61.15955241784962,True,True,2,True,True,3
TNFRSF11B,8.347269143755241,1.6598950901750065,11.63324003004034,6.1183863887585524e-30,7.645360820353009e-27,56.777133933042336,60.13569847566508,True,True,2,False,True,3
PTP4A1,5.914334076808041,0.839070842461359,11.404744932168548,6.910673305182484e-29,7.555957425053898e-26,54.40203701466158,57.84487610280969,True,True,2,False,False,2
LOXL2,7.2864798600045155,2.0917253166748653,11.373947916365047,9.55271477134256e-29,9.830305424109808e-26,54.10399621194868,57.58174241355742,True,True,2,False,False,2
PDE5A,8.328113783365172,2.951815907202355,11.313195267610366,1.8054526590843186e-28,1.7546993787789485e-25,53.48504919764171,57.00232977674888,True,True,2,False,False,2
NOMO3,5.137742405503048,2.737670633514661,11.015327809645958,3.930338024053993e-27,3.618807020673713e-24,50.49175288460441,53.97589781263379,True,True,2,True,True,3
DKK3,9.934202381028896,2.6731271156506446,10.912771788164926,1.11745122566152e-26,9.774345870861316e-24,49.47055380669132,52.982281046806776,True,True,2,False,True,3
WNT16,6.436110050805334,0.7872276278795864,10.79073856770781,3.8337456117842207e-26,3.1936926539311026e-23,48.27993214005158,51.79827931977067,True,True,2,False,False,2
COL12A1,9.131245557428315,1.912198466471508,10.661587791071096,1.3956797861078611e-25,1.10981918991686e-22,47.02619728196248,50.55267493577989,True,True,2,False,True,3
COL11A1,5.947373194621781,0.7157771540746815,10.5978906633927,2.6270873625159096e-25,1.9100267247173358e-22,46.39308313899312,50.00975481190975,True,True,2,False,True,3
HMGA2,6.886833990546158,1.1450914375614616,10.520187553261538,5.658462735532486e-25,3.8072748882848194e-22,45.66606264193242,49.319958365064124,True,True,2,False,False,2
ANO4,5.533456956508472,0.6034363068643372,10.4999042573541,6.907864596589005e-25,4.441314285995098e-22,45.42599283704864,49.16592170286804,True,True,2,False,False,2
VAMP7,4.973876620160059,0.41663693959520337,10.496990208936356,7.108540071330898e-25,4.441314285995098e-22,45.33229027635629,49.16592170286804,True,True,2,True,False,2
PSG5,4.942981972019184,0.45063198022349704,10.491900363924808,7.473016766812723e-25,4.508032942021441e-22,45.284610774147055,49.15101114226,True,True,2,False,True,3
THY1,8.446870162392628,1.7569759754688006,10.460730687581703,1.0145815669258411e-24,5.916363310600222e-22,45.10172397668311,48.879150091377966,True,True,2,True,True,3
MAGED4B,4.8658619967934795,0.42264534613277177,10.176292910324696,1.5947544118476698e-23,8.71832302526973e-21,42.31521633706646,46.188860047064566,True,True,2,False,False,2
GREM1,6.342798322083321,2.32805438901758,10.048889612590482,5.364627899029389e-23,2.760258837224121e-20,41.24800327415279,45.03637740294613,True,True,2,False,True,3
COL7A1,5.760460270621275,1.692076658575364,10.03664851605189,6.023702499597325e-23,3.010818615084446e-20,41.13671672342044,44.94948985295161,True,True,2,False,True,3
PIK3R2,4.6663705758795935,1.8059420808793787,9.886216786902711,2.4776552160293655e-22,1.171462171600479e-19,39.742681073759215,43.59086407900975,True,True,2,False,False,2
RGMB,6.489523211747656,3.281177336171756,9.860233221770306,3.157375793681772e-22,1.450320730877099e-19,39.53138156560505,43.37733204120576,True,True,2,False,False,2
MAGED4,4.7907497827555,0.43394584209514897,9.857684856928431,3.2332518866015127e-22,1.450320730877099e-19,39.40249659670089,43.37733204120576,True,True,2,False,False,2
CPA4,5.952038952531204,0.771298731685897,9.828768688509156,4.2315987443053696e-22,1.8506897108219535e-19,39.2355552115501,43.133558380614986,True,True,2,False,False,2
CCDC9B,5.219181689566119,2.059694760570281,9.810540228601115,5.012155392571955e-22,2.138601132625702e-19,39.0805245768498,42.98896482793577,True,True,2,False,False,2
SFRP1,9.264113945347518,2.159066812602963,9.779707080020945,6.669871252679255e-22,2.778160183199307e-19,38.804013202571284,42.72732786287823,True,True,2,False,True,3
PAMR1,6.5033168182457715,0.9961543469604172,9.770895112616062,7.236379911302867e-22,2.9440286085658687e-19,38.7264343786372,42.66933784848394,True,True,2,False,False,2
MARCHF4,5.26429429945931,0.5178742128126512,9.722998490375302,1.1258464394305125e-21,4.476263093499405e-19,38.24195916144147,42.25032819945606,True,True,2,False,False,2
COLEC10,4.903197949658028,0.5326943701128779,9.689037991920303,1.5384941102512525e-21,5.980981325496758e-19,37.915343586064864,41.96053211113383,True,True,2,False,True,3
PCDHGB4,4.901946193573896,0.5838244264745429,9.645900923398974,2.2844015766486493e-21,8.687678517802493e-19,37.538540054526706,41.58721100739528,True,True,2,True,True,3
CD248,7.424511041075817,1.8582422451499048,9.335138582556322,3.7677873004134493e-20,1.3182734206686576e-17,34.894945379269096,38.8676237151433,True,True,2,True,True,3
LRRC17,5.325697969480207,1.4413074205688081,9.295508097131268,5.3562111026466686e-20,1.837285431954918e-17,34.545121402764536,38.53565740733749,True,True,2,False,False,2
ADAMTS12,6.071699055717326,1.0618908703207346,9.273806321863105,6.490497792800118e-20,2.183553238216255e-17,34.36669981319964,38.362993105197916,True,True,2,False,False,2
EVC,4.790689248384213,1.5261562247598126,9.24702803691659,8.222048254032521e-20,2.7138964557744328e-17,34.11689508538297,38.14556117210247,True,True,2,True,False,2
GPR176,6.031815661036369,1.3439101165468506,9.210883665235176,1.1303071992636737e-19,3.66177669331828e-17,33.83068133982569,37.84599811593825,True,True,2,False,True,3
FOXL1,5.5247357621196755,0.813607240101386,9.195592158091303,1.292797441901255e-19,4.038606865825099e-17,33.68144789701479,37.74804678358685,True,True,2,False,False,2
FKBP1C,4.849208852038881,0.8517849010422895,9.189117678974833,1.3683715702424074e-19,4.199700394705382e-17,33.59958524645266,37.708933392747845,True,True,2,False,False,2
IGF2BP1,4.992836230633724,0.6260470211202637,9.152463130629581,1.8862839603368496e-19,5.592991796971668e-17,33.284124306036134,37.422432231720215,True,True,2,False,False,2
COL1A1,9.407835738331473,2.9443428624181376,9.143283441082904,2.0438233362923865e-19,5.959107574183168e-17,33.25373782810975,37.35902584690836,True,True,2,False,True,3
