,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000467693,5.785279296948675,-3.418028405019188,6.0194643026938355,2.9849612499951548e-09,1.7308888581677632e-07,9.242748394497253,ENST00000467693,TOPORSLP,ENST00000467693 - TOPORSLP,15.569460583545538,True,True,2,False,False,2
ENST00000493279,5.622179622265477,-3.413832955396198,5.7679003825174675,1.2633462900679992e-08,6.479915195149816e-07,8.081994555851193,ENST00000493279,TOPORSLP,ENST00000493279 - TOPORSLP,14.249388227848012,True,True,2,False,False,2
ENST00000521647,5.8737742590026905,-0.19765628555057532,5.410719354371305,8.955645387491514e-08,3.87026406294563e-06,6.310257808311001,ENST00000521647,PLAT,ENST00000521647 - PLAT,12.462187819931087,True,True,2,False,True,3
ENST00000413272,4.803947558807492,2.085795548009624,5.195363815336135,2.770141169252016e-07,1.0655622270047013e-05,5.365475959773833,ENST00000413272,NUGGC,ENST00000413272 - NUGGC,11.449422892425247,True,True,2,False,False,2
ENST00000621697,7.819827050782459,-3.344607991145736,4.833714338392816,1.6888620350975243e-06,5.471937567918018e-05,4.031094234877598,ENST00000621697,MRGPRX3,ENST00000621697 - MRGPRX3,9.813292694086774,True,True,2,False,False,2
ENST00000534731,6.696229092566359,-3.3665108575318996,4.822799745361699,1.7804650689165033e-06,5.741580838459634e-05,4.031724591592859,ENST00000534731,NOX4,ENST00000534731 - NOX4,9.76519088515926,True,True,2,False,False,2
ENST00000316793,6.513575743473741,2.297144479548362,4.796082033683761,2.0253438419552613e-06,6.448376240045441e-05,3.745026088347668,ENST00000316793,OXTR,ENST00000316793 - OXTR,9.649097111585212,True,True,2,False,False,2
ENST00000492534,4.169031510294446,0.11695100432453709,4.748665564266836,2.541940234701563e-06,7.887320425863049e-05,3.7108687144601786,ENST00000492534,RAB29,ENST00000492534 - RAB29,9.447669004289098,True,True,2,False,False,2
ENST00000504018,5.855365494256268,-3.368684296106821,4.620609442980255,4.6497218754323895e-06,0.00013589546447941332,3.293751126201931,ENST00000504018,NREP,ENST00000504018 - NREP,8.90362461131985,True,True,2,False,False,2
ENST00000322434,6.306557498261434,4.811515760051483,4.570799695492915,5.858371600127214e-06,0.00016769835824526134,2.8699226852013933,ENST00000322434,ZNF354B,ENST00000322434 - ZNF354B,8.693343679014509,True,True,2,False,False,2
ENST00000367443,5.651681855413518,-3.3899692662868697,4.533895089374887,6.942659278172332e-06,0.00019522297603417625,2.9795815526379545,ENST00000367443,RO60,ENST00000367443 - RO60,8.541368185818866,True,True,2,False,False,2
ENST00000632219,7.8502803274390445,-3.3270098761846776,4.526199774975822,7.191828875566177e-06,0.00020152959392447014,2.878414520909269,ENST00000632219,SCG5,ENST00000632219 - SCG5,8.509574319250087,True,True,2,False,False,2
ENST00000581641,4.084537830746093,0.6411395335473784,4.514421517654888,7.589875012240436e-06,0.0002116184027516767,2.8276693728451043,ENST00000581641,TWSG1,ENST00000581641 - TWSG1,8.460725892235878,True,True,2,False,False,2
ENST00000633941,5.420688544050428,-3.3980280696048872,4.502377459536281,8.018697731649772e-06,0.0002220455058487741,2.8734379799896903,ENST00000633941,GPI,ENST00000633941 - GPI,8.412628215797007,True,True,2,False,True,3
ENST00000622074,4.486424615601945,1.8800185234907407,4.411422737521031,1.2094679009196573e-05,0.0003229647339202879,2.4139173965202856,ENST00000622074,missing,ENST00000622074 - missing,8.03796742361183,True,True,2,False,False,2
ENST00000632802,4.486424615601945,1.8800185234907407,4.411422737521031,1.2094679009196573e-05,0.0003229647339202879,2.4139173965202856,ENST00000632802,missing,ENST00000632802 - missing,8.03796742361183,True,True,2,False,False,2
ENST00000541363,4.448843413482489,0.7933857659393788,4.394304828277359,1.3056825757881859e-05,0.00034663050867452205,2.3842760094607947,ENST00000541363,HMGA2,ENST00000541363 - HMGA2,7.967251161837204,True,True,2,False,False,2
ENST00000339431,8.876153555159682,0.4296119316396848,4.321303972219349,1.804525299172766e-05,0.0004643902321488585,2.0365680350627526,ENST00000339431,LRRC17,ENST00000339431 - LRRC17,7.674785341632932,True,True,2,False,False,2
ENST00000482352,4.092314923041741,1.7518201248688852,4.288550824087088,2.0833238679012283e-05,0.0005277516788004169,2.0012191943537587,ENST00000482352,MRPL20,ENST00000482352 - MRPL20,7.546884690188479,True,True,2,False,False,2
ENST00000409672,5.732184882466017,2.156667178138602,4.220625458487976,2.7980582399840553e-05,0.0006885411004804526,1.7253985308215372,ENST00000409672,SCN9A,ENST00000409672 - SCN9A,7.280935545890349,True,True,2,False,False,2
ENST00000264805,8.495921892464514,-0.9175132040406477,4.181729340372781,3.306910148956778e-05,0.0007992940926656235,1.5980943464842134,ENST00000264805,PDE5A,ENST00000264805 - PDE5A,7.131781603994388,True,True,2,False,False,2
ENST00000418055,5.1023414902549185,-3.3681014739699897,4.161742310767983,3.601531620002169e-05,0.0008620833601998204,1.6804869603045356,ENST00000418055,P4HA2,ENST00000418055 - P4HA2,7.056158586408026,True,True,2,False,True,3
ENST00000503090,5.032260956287936,-3.356964661935085,4.153325933528625,3.732927149472537e-05,0.000889114468108624,1.6554607438658167,ENST00000503090,HHIP,ENST00000503090 - HHIP,7.0252845702121585,True,True,2,False,True,3
ENST00000296575,5.973953445323724,1.8137574550955158,4.137393549319064,3.994252507357679e-05,0.0009441615772965335,1.4520372720812746,ENST00000296575,HHIP,ENST00000296575 - HHIP,6.965213244074988,True,True,2,False,True,3
ENST00000509814,9.281264037381174,-3.1801648150085886,4.120736681818582,4.286023622347584e-05,0.001006718227835587,1.4327372160292047,ENST00000509814,ITGA2,ENST00000509814 - ITGA2,6.9010595178709275,True,True,2,True,True,3
ENST00000367845,4.979024236653834,-0.5188763309106347,4.076730211741347,5.157514156601044e-05,0.0011862349151714443,1.3233982959566397,ENST00000367845,ALDH8A1,ENST00000367845 - ALDH8A1,6.736970924520195,True,True,2,False,False,2
ENST00000594728,4.973477956979144,1.3063744881469095,4.07072507902374,5.288746380970031e-05,0.0012118807889380983,1.2639119452078127,ENST00000594728,CSKMT,ENST00000594728 - CSKMT,6.715581755134539,True,True,2,False,False,2
ENST00000519380,7.267098170161194,0.08905849563852349,4.058269819022755,5.57111614224658e-05,0.001266968396674629,1.2008070066813854,ENST00000519380,RDH10,ENST00000519380 - RDH10,6.671128321383881,True,True,2,True,False,2
ENST00000613167,7.768020860445466,6.11625201619733,4.049384820796889,5.781231634076296e-05,0.0013100693020834692,1.0817617963652175,ENST00000613167,PLLP,ENST00000613167 - PLLP,6.637675240814564,True,True,2,False,False,2
ENST00000281834,7.874394073564767,-0.7592297372522755,4.042902193469431,5.9392589058669826e-05,0.0013426342949943158,1.1552259271717338,ENST00000281834,TNFSF4,ENST00000281834 - TNFSF4,6.613121703068954,True,True,2,True,True,3
ENST00000502270,5.484507702116384,-0.8523184402864047,4.02329460345116,6.442567627630879e-05,0.0014446792886652245,1.142097612271801,ENST00000502270,NUDT6,ENST00000502270 - NUDT6,6.5398679276117,True,True,2,False,False,2
