,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000252244,11.68005937402243,2.1993885532019593,16.149030994893717,3.2967741650609054e-35,6.566053233585203e-30,69.21263468873087,ENST00000252244,KRT1,ENST00000252244 - KRT1,67.1956398633144,True,True,2,False,True,3
ENST00000269576,9.973716305862936,4.254263744711414,15.699583575388175,5.156434578424554e-34,5.134932246232524e-29,66.57142207630491,ENST00000269576,KRT10,ENST00000269576 - KRT10,65.13890104803579,True,True,2,False,True,3
ENST00000341809,11.39627312358581,-2.627772382441969,15.0853549551814,2.2751751891998226e-32,1.510458472440573e-27,61.938506802498196,ENST00000341809,KRT77,ENST00000341809 - KRT77,61.75738428196405,True,True,2,False,False,2
ENST00000376288,11.881040492026937,-3.2354780446297964,13.728399243521197,1.0783726098220276e-28,5.3693789801953486e-24,53.847238926887805,ENST00000376288,CDSN,ENST00000376288 - CDSN,53.581329976169975,True,True,2,False,True,3
ENST00000388718,9.95394144795533,-0.12793864871064148,13.447672374896221,6.2911899741275735e-28,2.5059822847741843e-23,52.368511036299324,ENST00000388718,FLG2,ENST00000388718 - FLG2,52.04077635153859,True,True,2,False,True,3
ENST00000427043,10.963844196298915,-1.9499550470131826,13.327619270502119,1.3387757993998058e-27,4.4439770143876954e-23,51.492511177377864,ENST00000427043,CASP14,ENST00000427043 - CASP14,51.46790743937904,True,True,2,False,False,2
ENST00000167586,11.346686809719667,1.923847977878859,13.278875184200514,1.819426209833119e-27,5.176683435823185e-23,51.71222338336305,ENST00000167586,KRT14,ENST00000167586 - KRT14,51.31529255100237,True,True,2,False,False,2
ENST00000548765,10.613666429552282,-3.4804521478986206,13.058666546504083,7.281093160533177e-27,1.8126827505134383e-22,49.529454926597374,ENST00000548765,KRT1,ENST00000548765 - KRT1,50.062064115335616,True,True,2,False,True,3
ENST00000368742,10.198988555035864,-1.156712702911271,12.542655573204833,1.88468846127857e-25,4.170731800877863e-21,46.74916037328238,ENST00000368742,LORICRIN,ENST00000368742 - LORICRIN,46.9261954406439,True,True,2,False,False,2
ENST00000314980,10.57935787229891,-0.6473403018501837,12.423321116252692,4.0013728542224445e-25,7.969374258840674e-21,46.1481205916317,ENST00000314980,LGALS7B,ENST00000314980 - LGALS7B,46.278680975220226,True,True,2,False,False,2
ENST00000556881,10.72597908132309,-3.2305008435566163,12.36834845235935,5.660254295312538e-25,1.0248456427092881e-20,45.458786938822925,ENST00000556881,SERPINA12,ENST00000556881 - SERPINA12,46.027159851109474,True,True,2,False,False,2
ENST00000338897,10.650633448330707,-1.3473716762370502,12.34267384925647,6.655567623872108e-25,1.1046356511467602e-20,45.57308301467282,ENST00000338897,KRTDAP,ENST00000338897 - KRTDAP,45.952186306752246,True,True,2,False,False,2
ENST00000375819,11.059121399617801,-3.4893321814137463,12.217745007850857,1.4637989360853708e-24,2.0939493332872526e-20,44.56580969311479,ENST00000375819,LY6G6C,ENST00000375819 - LY6G6C,45.31264994386319,True,True,2,False,True,3
ENST00000293371,10.199372868057369,-2.4190561702012645,12.216869913362544,1.4719023661679974e-24,2.0939493332872526e-20,44.57982029327979,ENST00000293371,DCD,ENST00000293371 - DCD,45.31264994386319,True,True,2,False,False,2
ENST00000309680,9.509884932860588,0.4189091553762867,12.010966177664649,5.394141584801458e-24,7.162197352523781e-20,43.640344480487634,ENST00000309680,KRT2,ENST00000309680 - KRT2,44.08288503317974,True,True,2,False,False,2
ENST00000372789,10.621132178819854,-3.5026265506986607,11.66522504980826,4.767540080778549e-23,5.934574298302128e-19,41.18335352056888,ENST00000372789,WFDC5,ENST00000372789 - WFDC5,41.968321468726806,True,True,2,False,False,2
ENST00000484218,11.057177407463401,-3.8704020005531543,11.462898514305694,1.7037460873964044e-22,1.9960487837787783e-18,40.00374799245565,ENST00000484218,KRTDAP,ENST00000484218 - KRTDAP,40.75536205553129,True,True,2,False,False,2
ENST00000408915,9.8101467142841,-0.7234359310397668,11.385878527574238,2.7655119382842027e-22,3.0599775038906193e-18,39.750638772936675,ENST00000408915,DMKN,ENST00000408915 - DMKN,40.328124109625286,True,True,2,False,False,2
ENST00000227918,10.189900957032885,-3.4940360194412916,11.336698944336918,3.767415313984378e-22,3.949163360131645e-18,39.14402967652585,ENST00000227918,SCGB2A2,ENST00000227918 - SCGB2A2,40.07302792497579,True,True,2,False,False,2
ENST00000319098,9.99653022035622,-2.371622838859955,11.27028755087923,5.718436659439736e-22,5.694590778569872e-18,38.86450619127166,ENST00000319098,PSAPL1,ENST00000319098 - PSAPL1,39.70701493584063,True,True,2,False,False,2
ENST00000380332,10.131972744741242,-0.7973358854957224,10.93658758283562,4.6378677822919904e-21,4.398597974895079e-17,37.0480192172876,ENST00000380332,CALML5,ENST00000380332 - CALML5,37.66266073282103,True,True,2,False,False,2
ENST00000257192,10.13230283385638,-1.069199524246361,10.8913549545253,6.156039389272808e-21,5.573062459108673e-17,36.74914290080922,ENST00000257192,DSG1,ENST00000257192 - DSG1,37.42600186492601,True,True,2,True,False,2
