,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000599436,9.377603097191475,-4.288125309294692,11.491527206666456,1.4232680312805636e-22,1.4173330035901238e-17,37.70806563468008,ENST00000599436,MUC16,ENST00000599436 - MUC16,38.795169641737644,True,True,2,False,True,3
ENST00000601404,9.103453228235356,-4.263087550584919,10.545793292080122,5.3293706954045755e-20,2.653573609802369e-15,32.393175041497905,ENST00000601404,MUC16,ENST00000601404 - MUC16,33.562869131364316,True,True,2,False,True,3
ENST00000596768,8.569636300162706,-4.28275829632429,10.298363274183894,2.482818773316609e-19,9.889861676127514e-15,30.819467440893998,ENST00000596768,MUC16,ENST00000596768 - MUC16,32.247266235609715,True,True,2,False,True,3
ENST00000397910,8.742336129965222,-3.862938866180938,10.254926825076062,3.250720234042593e-19,9.92512167518044e-15,30.73853254330848,ENST00000397910,MUC16,ENST00000397910 - MUC16,32.24370730894855,True,True,2,False,True,3
ENST00000563941,8.69830544700616,-2.8280623466773025,10.243549921593113,3.4883389597754173e-19,9.92512167518044e-15,31.00710409000162,ENST00000563941,MSLN,ENST00000563941 - MSLN,32.24370730894855,True,True,2,False,True,3
ENST00000545450,9.649284332260248,-3.5173868670841766,9.944309700020987,2.2190073996345618e-18,4.419508277556171e-14,29.45640519312075,ENST00000545450,MSLN,ENST00000545450 - MSLN,30.75016286143739,True,True,2,False,True,3
ENST00000566549,8.308459796075976,-3.738536050548907,8.911607724159168,1.1896596672657345e-15,1.974497977422061e-11,23.40962000536785,ENST00000566549,MSLN,ENST00000566549 - MSLN,24.648121845539883,True,True,2,False,True,3
ENST00000382862,7.227858133435447,-4.545987834411941,7.932398321719697,3.7638012593976117e-13,4.997474944194565e-09,17.925611528732816,ENST00000382862,MSLN,ENST00000382862 - MSLN,19.114333063234483,True,True,2,False,True,3
ENST00000561896,6.815624734788276,-4.383497464425973,7.354771872537588,9.913154201387514e-12,8.712178703068422e-08,15.043084487160165,ENST00000561896,MSLN,ENST00000561896 - MSLN,16.255958846242315,True,True,2,False,True,3
ENST00000515271,6.441052109016102,-4.208177497492448,7.126743996061271,3.497273617900315e-11,2.579770360676793e-07,13.8609246690014,ENST00000515271,BTNL9,ENST00000515271 - BTNL9,15.170395263475811,True,True,2,True,True,3
ENST00000398131,8.078734332684894,-1.3944537413730778,7.0715560458360995,4.731692474397448e-11,3.3656866548422934e-07,14.33855791971375,ENST00000398131,HP,ENST00000398131 - HP,14.904463650775998,True,True,2,False,True,3
ENST00000566269,6.331436509201843,-4.280872365899367,6.981796930027273,7.717744096036356e-11,5.123707402103923e-07,13.191614841973532,ENST00000566269,MSLN,ENST00000566269 - MSLN,14.484217371968828,True,True,2,False,True,3
ENST00000570083,8.197656630598757,-4.233203091084134,6.608256554022446,5.715241251175647e-10,2.7762969244674363e-06,11.75900376340535,ENST00000570083,HP,ENST00000570083 - HP,12.794392559776178,True,True,2,False,True,3
ENST00000459780,5.601719820851369,-1.2777796209799093,6.517629088026033,9.209996618293223e-10,4.149004881540508e-06,11.357333500714972,ENST00000459780,ADAMTS9,ENST00000459780 - ADAMTS9,12.392642040055906,True,True,2,False,True,3
ENST00000355906,7.781410179732255,-1.7522062064026658,6.487814758829407,1.0767105704610863e-09,4.5905157519119e-06,11.426115688387473,ENST00000355906,HP,ENST00000355906 - HP,12.291518175953252,True,True,2,False,True,3
ENST00000494004,4.7496960962919,-2.916417398477398,6.1116169159443885,7.47093587364725e-09,2.4799273570180473e-05,9.147272346326563,ENST00000494004,ADAMTS9,ENST00000494004 - ADAMTS9,10.604696196747323,True,True,2,False,True,3
ENST00000309881,8.158356267910264,-1.694687487179945,5.901931890513393,2.1372998957077398e-08,5.752398257142267e-05,8.76083301128156,ENST00000309881,CD36,ENST00000309881 - CD36,9.763308608919418,True,True,2,False,True,3
ENST00000419819,6.069379897076948,-3.544423287581449,5.877551650749167,2.4117836603420513e-08,6.238250707736168e-05,8.249786643032902,ENST00000419819,CD36,ENST00000419819 - CD36,9.682225657188868,True,True,2,False,True,3
ENST00000475557,5.706287716392502,-2.619040520659358,5.697188864573694,5.841225494287504e-08,0.00013686747256414883,7.5450235731483,ENST00000475557,ADAMTS9,ENST00000475557 - ADAMTS9,8.89649745387091,True,True,2,False,True,3
ENST00000320741,7.27855101498507,0.33311180255870226,5.674938759641569,6.507237804581455e-08,0.00015070006099851977,7.8214118524866425,ENST00000320741,ADIPOQ,ENST00000320741 - ADIPOQ,8.800219047564024,True,True,2,False,True,3
ENST00000435819,5.643352923008625,-2.791351772428897,5.617127168593301,8.60427782718835e-08,0.00019040884419219945,7.189486994065875,ENST00000435819,CD36,ENST00000435819 - CD36,8.566336986096521,True,True,2,False,True,3
ENST00000526472,6.131924794816179,0.0024679647386619125,5.54423172683709,1.220675817319053e-07,0.00025863523386400694,7.172032839949698,ENST00000526472,PKHD1L1,ENST00000526472 - PKHD1L1,8.260091852400128,True,True,2,True,True,3
ENST00000534623,5.226680855434071,-2.8008947045487815,5.47076783933177,1.731525826852431e-07,0.0003518990539090727,6.536198630418577,ENST00000534623,PKHD1L1,ENST00000534623 - PKHD1L1,7.9521662021624495,True,True,2,True,True,3
ENST00000390543,5.923299623545413,-0.64528411328338,5.282704334489416,4.1811450455930216e-07,0.0007710573464357219,6.012464009440968,ENST00000390543,IGHG4,ENST00000390543 - IGHG4,7.167747807872885,True,True,2,False,True,3
ENST00000538969,6.791431151673661,-1.9574900798655752,5.2806041923550175,4.222044600240595e-07,0.0007714566374784572,5.9722184575582355,ENST00000538969,CD36,ENST00000538969 - CD36,7.167230093212509,True,True,2,False,True,3
ENST00000491209,5.0436102018139986,0.6811043842665643,5.271273700878855,4.408512853920464e-07,0.0007982053373308391,5.994620980199472,ENST00000491209,BTNL9,ENST00000491209 - BTNL9,7.133144678663353,True,True,2,True,True,3
ENST00000482490,5.12762750057478,-2.7632258551114965,5.072278125632171,1.095177932877727e-06,0.0017590500659639143,4.944571845821999,ENST00000482490,ADAMTS9,ENST00000482490 - ADAMTS9,6.342981350889353,True,True,2,False,True,3
ENST00000378402,5.693312668612295,-0.1679283481179532,4.997434425021656,1.5330265053160408e-06,0.0023307386027311035,4.865131027384166,ENST00000378402,PKHD1L1,ENST00000378402 - PKHD1L1,6.061570064757121,True,True,2,True,True,3
ENST00000511589,4.380236102804326,-3.17795875347922,4.978996465509956,1.664614645920282e-06,0.0024927416584162323,4.479201053633948,ENST00000511589,BTNL9,ENST00000511589 - BTNL9,5.994372106598858,True,True,2,True,True,3
ENST00000512570,4.193528358818746,0.3072768649273829,4.972127527961509,1.7163863508232712e-06,0.002551088089164684,4.715281538528279,ENST00000512570,BTNL9,ENST00000512570 - BTNL9,5.971235309189846,True,True,2,True,True,3
ENST00000222543,5.1408063596198295,0.7919905304380382,4.9696206847707005,1.7356669821270349e-06,0.0025606359271282443,4.775332983802688,ENST00000222543,TFPI2,ENST00000222543 - TFPI2,5.967499642304611,True,True,2,False,True,3
ENST00000480599,4.896896344058882,-4.041209145793698,4.941315055415894,1.96848573861274e-06,0.0028205426663060786,4.3189229931269555,ENST00000480599,CD36,ENST00000480599 - CD36,5.870825977685016,True,True,2,False,True,3
ENST00000376841,4.21350595337686,-1.4827275955256267,4.892454298782341,2.443473122912662e-06,0.003288221405392049,4.287678772916772,ENST00000376841,BTNL9,ENST00000376841 - BTNL9,5.717408466648924,True,True,2,True,True,3
ENST00000441109,6.109996660671968,-1.8357751166115388,4.875797583870401,2.629467225542064e-06,0.0034453978252783593,4.322620096965073,ENST00000441109,CD36,ENST00000441109 - CD36,5.670715902147897,True,True,2,False,True,3
ENST00000451238,4.9007835696098585,-1.8475152271673398,4.82238918280226,3.323031500060207e-06,0.004110775725099324,4.043718664997577,ENST00000451238,TFPI2,ENST00000451238 - TFPI2,5.494143527383238,True,True,2,False,True,3
ENST00000322563,3.7594043761762848,1.7837240058386672,4.816278907718857,3.4128557464711436e-06,0.004195832269146122,4.15785720343103,ENST00000322563,WNT11,ENST00000322563 - WNT11,5.473663563235122,True,True,2,False,True,3
ENST00000444204,6.255214328765209,-4.366448937850819,4.762415219374112,4.313217573749135e-06,0.005053213478196001,3.755361236291039,ENST00000444204,ADIPOQ,ENST00000444204 - ADIPOQ,5.28773090575239,True,True,2,False,True,3
ENST00000488048,5.466555860277415,-2.1959405075795404,4.747134349518346,4.607951566663365e-06,0.005335740010035324,3.7729984525513887,ENST00000488048,CD36,ENST00000488048 - CD36,5.2333276953123535,True,True,2,False,True,3
ENST00000432207,6.263930554899093,-0.00529142427845368,4.688831419267689,5.921893678646645e-06,0.006626066721355829,3.6831141532584732,ENST00000432207,CD36,ENST00000432207 - CD36,5.016743905527026,True,True,2,False,True,3
ENST00000599899,4.304175988253393,2.8393660995233523,4.659421983885985,6.715393402846757e-06,0.007428148401460109,3.587915697413612,ENST00000599899,C3,ENST00000599899 - C3,4.9024786570347985,True,True,2,False,True,3
ENST00000616559,5.028210784519082,-2.148719237304939,4.637448258219005,7.3743165908429055e-06,0.007812303926233076,3.3433868777581415,ENST00000616559,PTPRQ,ENST00000616559 - PTPRQ,4.8520553616767295,True,True,2,False,True,3
ENST00000455073,3.782321097219083,-3.235258992052196,4.63416226267764,7.478068265886838e-06,0.007880301292294275,3.163463762461399,ENST00000455073,LAMA4,ENST00000455073 - LAMA4,4.843389140780565,True,True,2,False,True,3
ENST00000513424,4.420043099048021,-4.008683959317532,4.626531810608454,7.724454882832059e-06,0.008097098848390155,3.135590502626016,ENST00000513424,BTNL9,ENST00000513424 - BTNL9,4.816249448326229,True,True,2,True,True,3
