,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000433736,8.577947840412826,-5.100708641093487,16.53284163274226,3.208107406088619e-36,6.389459196410459e-31,69.67998329696835,ENST00000433736,ITGAV,ENST00000433736 - ITGAV,69.52548825080714,True,True,2,True,True,3
ENST00000360490,11.722896155077379,-4.199504163499332,13.7151936276359,1.1739409047350638e-28,1.1690455711623185e-23,54.07614840196233,ENST00000360490,MME,ENST00000360490 - MME,52.80326947410273,True,True,2,False,True,3
ENST00000426059,9.79054142395413,-2.2090224425061336,13.068433935112438,6.85884617390499e-27,3.415122392679903e-22,50.09558028928962,ENST00000426059,FN1,ENST00000426059 - FN1,49.428658713757905,True,True,2,False,True,3
ENST00000505593,8.450421231020087,-4.648691694902948,12.841787727388594,2.8616268845707437e-26,1.1398775601848335e-21,48.17994226922355,ENST00000505593,LOX,ENST00000505593 - LOX,48.223366099583345,True,True,2,False,True,3
ENST00000541428,10.2400654380077,-4.22315593921263,11.975257720198965,6.766113293792216e-24,1.6844746503392758e-19,43.29894485738512,ENST00000541428,ASPH,ENST00000541428 - ASPH,43.227663031910176,True,True,2,True,True,3
ENST00000502326,9.634315482338694,-4.9569914008480245,11.95604882115006,7.637292820404697e-24,1.690098957631913e-19,43.04810646438747,ENST00000502326,IL6ST,ENST00000502326 - IL6ST,43.22432968485437,True,True,2,True,True,3
ENST00000323926,9.670042329293683,4.1877885490300795,11.864881861183912,1.356882735055334e-23,2.536104567325186e-19,43.01369697616546,ENST00000323926,FN1,ENST00000323926 - FN1,42.81848749798956,True,True,2,False,True,3
ENST00000336916,9.543736020312021,5.825920366855353,11.859839788394714,1.400698424458846e-23,2.536104567325186e-19,42.96807648963484,ENST00000336916,FN1,ENST00000336916 - FN1,42.81848749798956,True,True,2,False,True,3
ENST00000639739,9.391554568370829,-2.7472355503384103,11.647549437461791,5.336040484757498e-23,8.8563153265601e-19,41.34427894470179,ENST00000639739,LOX,ENST00000639739 - LOX,41.56798596613427,True,True,2,False,True,3
ENST00000342951,9.322199238962476,-4.930170026170199,11.567560321576165,8.829467082238408e-23,1.256092600643639e-18,40.66659875175114,ENST00000342951,PSG5,ENST00000342951 - PSG5,41.21852588193739,True,True,2,False,True,3
ENST00000317840,7.886035013103897,-4.6659784892702385,11.31153214595364,4.418441030009853e-22,5.1764895657820145e-18,38.92099725144035,ENST00000317840,COL3A1,ENST00000317840 - COL3A1,39.80240453736057,True,True,2,False,True,3
ENST00000492661,9.43768027349375,-4.878242912680062,11.089264455084832,1.7835043169447192e-21,1.8591856270733294e-17,37.81408087664558,ENST00000492661,MME,ENST00000492661 - MME,38.52380802395817,True,True,2,False,True,3
ENST00000437994,9.719226916939522,-4.716171218681336,11.067173747529885,2.04850513873657e-21,1.942821783150513e-17,37.72363436784089,ENST00000437994,CD109,ENST00000437994 - CD109,38.479805137226705,True,True,2,False,True,3
ENST00000493888,9.366633425825274,-4.410171579994631,10.927560085596031,4.913096539067908e-21,4.254442544782604e-17,36.86920462401951,ENST00000493888,MME,ENST00000493888 - MME,37.69598283925821,True,True,2,False,True,3
ENST00000460393,11.458679625334048,-1.918175941221738,10.82179192963072,9.523271803682688e-21,7.295045969431794e-17,36.511555254863985,ENST00000460393,MME,ENST00000460393 - MME,37.15675109744535,True,True,2,False,True,3
ENST00000527258,7.021904113868722,-5.092921474869512,10.73318554539136,1.656910984939824e-20,1.1785726186661607e-16,35.321367465367565,ENST00000527258,ABI3BP,ENST00000527258 - ABI3BP,36.67705742683662,True,True,2,False,True,3
ENST00000513319,9.534774284877457,-4.331879868966841,10.625799478970851,3.2390637682823605e-20,2.0810044337862084e-16,35.095472331938055,ENST00000513319,LOX,ENST00000513319 - LOX,36.10851080989185,True,True,2,False,True,3
ENST00000469350,8.31255481982277,-4.980273458252855,10.390999583335399,1.397661692382518e-19,7.137607400642476e-16,33.50206319892263,ENST00000469350,PLOD2,ENST00000469350 - PLOD2,34.87598386566034,True,True,2,False,True,3
ENST00000366175,7.924798633513749,-5.02484317094329,10.356685460197163,1.7298406241713262e-19,8.613135943842658e-16,33.24678933611127,ENST00000366175,PSG5,ENST00000366175 - PSG5,34.68807301465757,True,True,2,False,True,3
ENST00000376723,6.976345451640273,-2.0741390745680546,10.323442031270002,2.1265251835190173e-19,1.0330036943920698e-15,33.20174322556624,ENST00000376723,UGGT1,ENST00000376723 - UGGT1,34.50630562840778,True,True,2,False,True,3
ENST00000462745,9.24560343004286,-4.252783878506707,10.085395876506686,9.293946226034658e-19,4.3047397536149266e-15,31.83268703050715,ENST00000462745,MME,ENST00000462745 - MME,33.07905971098026,True,True,2,False,True,3
ENST00000616868,6.981634620091693,-5.051106957299994,10.073837851048934,9.982242394102943e-19,4.518462019690697e-15,31.449712941601174,ENST00000616868,SULF1,ENST00000616868 - SULF1,33.03060472009888,True,True,2,False,True,3
ENST00000482079,8.161816637857472,-3.860871573320078,10.054515106076272,1.1248253028645866e-18,4.870151223268006e-15,31.579465290607363,ENST00000482079,WNT5A,ENST00000482079 - WNT5A,32.95565140629254,True,True,2,False,True,3
ENST00000474644,7.899107173357006,-3.467321456125502,9.96675676484753,1.9335362873443153e-18,7.859075269494242e-15,31.05368245569572,ENST00000474644,COL1A1,ENST00000474644 - COL1A1,32.47710744558247,True,True,2,False,True,3
ENST00000502468,8.524127679328323,-4.8296850213185065,9.816988950572593,4.862495760821481e-18,1.8623919821149444e-14,30.15627285478934,ENST00000502468,FBN2,ENST00000502468 - FBN2,31.614329628506802,True,True,2,False,True,3
ENST00000497395,7.252152670791253,-5.063877035220657,9.780511982229937,6.084229495404814e-18,2.2440215771885094e-14,29.778774114133967,ENST00000497395,ABI3BP,ENST00000497395 - ABI3BP,31.42792169879952,True,True,2,False,True,3
ENST00000497027,8.52459321577049,-4.781923875154606,9.763555774819675,6.7519494000655505e-18,2.445015916751737e-14,29.840741563419698,ENST00000497027,WNT5A,ENST00000497027 - WNT5A,31.342139669092084,True,True,2,False,True,3
ENST00000265077,8.303410564506033,-3.2866564877517055,9.679918030563918,1.1278105167812634e-17,3.940728234829072e-14,29.412827493866356,ENST00000265077,VCAN,ENST00000265077 - VCAN,30.86482576451108,True,True,2,False,True,3
ENST00000586539,7.090977329352095,-4.985103191056273,9.60293921115981,1.8067924274069747e-17,5.899206895031762e-14,28.72888829406711,ENST00000586539,ABCA8,ENST00000586539 - ABCA8,30.461373384611647,True,True,2,False,True,3
ENST00000367921,7.948072747721966,-2.9339734225415484,9.480775375820954,3.809822014996493e-17,1.1325179275205844e-13,28.24139550551551,ENST00000367921,DDR2,ENST00000367921 - DDR2,29.809162800632585,True,True,2,True,True,3
ENST00000461482,7.614242731896184,-4.144450059215376,9.385781924091749,6.793901736569211e-17,1.9330203332364906e-13,27.594193796108755,ENST00000461482,TFPI2,ENST00000461482 - TFPI2,29.274522489746815,True,True,2,False,True,3
ENST00000419255,8.177711187872655,-4.960424342793967,9.353891202583016,8.247242856373371e-17,2.277898635464778e-13,27.407918836681308,ENST00000419255,SEMA3C,ENST00000419255 - SEMA3C,29.110352842049714,True,True,2,False,True,3
ENST00000407356,7.604362269260001,-5.02818243447207,9.351870016087442,8.349145958091682e-17,2.277898635464778e-13,27.3374192157672,ENST00000407356,PSG5,ENST00000407356 - PSG5,29.110352842049714,True,True,2,False,True,3
ENST00000456923,7.408714117473013,6.659993379805754,9.341727113585044,8.879762696374528e-17,2.389928131332607e-13,27.517420299149677,ENST00000456923,FN1,ENST00000456923 - FN1,29.062342914003434,True,True,2,False,True,3
ENST00000543464,8.742400294466467,-4.723794684111589,9.236435855125817,1.6816028609141677e-16,4.270128114672493e-13,26.783820816832474,ENST00000543464,CPD,ENST00000543464 - CPD,28.481962378695975,True,True,2,False,True,3
ENST00000493237,8.380841783015423,-4.634036531921165,9.22218614602728,1.8331136551020959e-16,4.5073322744699264e-13,26.684635950032558,ENST00000493237,MME,ENST00000493237 - MME,28.427900743842393,True,True,2,False,True,3
ENST00000503759,7.709266941303969,-3.13104194969811,9.1592215750944,2.6825392862139314e-16,6.003040668293077e-13,26.34353116332995,ENST00000503759,LOX,ENST00000503759 - LOX,28.14134009001432,True,True,2,False,True,3
ENST00000475181,8.384216285048577,-1.7476939083941065,9.109167293572447,3.6288581505268973e-16,7.771453359224086e-13,26.158792092805104,ENST00000475181,CCDC80,ENST00000475181 - CCDC80,27.883149014515055,True,True,2,False,True,3
ENST00000381294,7.150146299177731,-3.7415619238587046,9.073715213766139,4.493529777256755e-16,9.42061422754862e-13,25.773440034876664,ENST00000381294,IL6ST,ENST00000381294 - IL6ST,27.690705917837054,True,True,2,True,True,3
ENST00000404580,7.2276306429572275,-4.853616248209325,9.03789743135181,5.5751425915026e-16,1.1215947973527343e-12,25.51839391841606,ENST00000404580,PSG5,ENST00000404580 - PSG5,27.516269517235326,True,True,2,False,True,3
ENST00000382989,8.452236474642996,-3.6839091308389156,8.969663111134523,8.402248473007614e-16,1.6090790570913793e-12,25.267058343728152,ENST00000382989,MME,ENST00000382989 - MME,27.155359114823685,True,True,2,False,True,3
ENST00000638663,7.380329615620802,-2.466119813348314,8.906516590260095,1.2271311743733755e-15,2.2629889581041454e-12,24.906839086925483,ENST00000638663,SCARB2,ENST00000638663 - SCARB2,26.81433462860671,True,True,2,False,True,3
ENST00000419671,7.265354325289593,-4.944143017517887,8.849993715452152,1.7211949344113228e-15,3.033659383247482e-12,24.440555570657843,ENST00000419671,COL12A1,ENST00000419671 - COL12A1,26.521251507867692,True,True,2,False,True,3
ENST00000262464,8.552882577460341,0.5256018262832846,8.830116109057306,1.9383653630271772e-15,3.3570128338493107e-12,24.586138746481733,ENST00000262464,FBN2,ENST00000262464 - FBN2,26.419969574926547,True,True,2,False,True,3
ENST00000280876,6.876874574554802,-3.5026749011487994,8.727470050760456,3.5755030459754494e-15,5.984190249199549e-12,23.78759618390739,ENST00000280876,GXYLT1,ENST00000280876 - GXYLT1,25.84190008278055,True,True,2,True,True,3
ENST00000465892,6.964547492814222,-5.05678595039401,8.719446995866084,3.750409276348304e-15,6.173173668869309e-12,23.66526974580471,ENST00000465892,TGFBR3,ENST00000465892 - TGFBR3,25.810808039287178,True,True,2,True,True,3
ENST00000405312,6.9328977765223625,-4.910456951386244,8.684408485615199,4.619435970881471e-15,7.47995597216731e-12,23.469423385308588,ENST00000405312,PSG4,ENST00000405312 - PSG4,25.618794210033375,True,True,2,False,True,3
ENST00000503010,6.797896536957957,-4.719828551934314,8.67096956039675,5.003482072804031e-15,7.860175625971231e-12,23.400813104515823,ENST00000503010,TMED7,ENST00000503010 - TMED7,25.569212165465913,True,True,2,True,True,3
ENST00000353578,9.979715324530106,1.1204967383170024,8.612870706796194,7.0633494913856665e-15,1.0577286201513666e-11,23.30809563097187,ENST00000353578,COL6A3,ENST00000353578 - COL6A3,25.27231222509331,True,True,2,False,True,3
ENST00000474771,5.975690479162484,-4.946735111023125,8.480542952099622,1.5445102221617898e-14,2.0784724520748312e-11,22.245633777140593,ENST00000474771,KCNK2,ENST00000474771 - KCNK2,24.596802797064566,True,True,2,False,True,3
ENST00000457377,7.4313655751900045,-3.9044285437865467,8.472647456102363,1.6181064934216328e-14,2.1628979722739124e-11,22.36495006674055,ENST00000457377,SLC4A7,ENST00000457377 - SLC4A7,24.556987046621217,True,True,2,False,True,3
ENST00000529128,7.493642395536803,-4.795800216550058,8.447932577119282,1.8717457481245124e-14,2.4719715150755386e-11,22.201977841235898,ENST00000529128,CLMP,ENST00000529128 - CLMP,24.423420006433144,True,True,2,True,True,3
ENST00000391895,7.922607661024027,-4.773638783475826,8.44247152779494,1.9329104623523973e-14,2.5326976654268258e-11,22.20160546998094,ENST00000391895,KCNK2,ENST00000391895 - KCNK2,24.399151017338447,True,True,2,False,True,3
