,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000613898,14.01754368685225,-4.11584410351616,23.03959313714807,2.914882456212097e-52,1.4513636981848463e-47,107.33286787008035,ENST00000613898,HP,ENST00000613898 - HP,107.84899577475652,True,True,2,False,True,3
ENST00000302068,14.264828042271082,-3.3662594728898774,20.830736169657616,4.540180956194258e-47,1.0047218670237618e-42,95.90149519702376,ENST00000302068,FGB,ENST00000302068 - FGB,96.7038631517711,True,True,2,False,True,3
ENST00000398131,14.708781114103164,-1.2726815150995803,20.04446870493768,3.713881951806258e-45,6.724354661940411e-41,91.97492004188146,ENST00000398131,HP,ENST00000398131 - HP,92.50025285292227,True,True,2,False,True,3
ENST00000205948,14.204069072628261,-3.652190757958402,19.87847631309594,9.504573017500352e-45,1.4561444535411349e-40,90.6703475173421,ENST00000205948,APOH,ENST00000205948 - APOH,91.72761156231165,True,True,2,False,True,3
ENST00000265132,13.559710675904356,-2.795171335332149,19.385688609279413,1.5784448983737346e-43,1.964828478934395e-39,87.94435271330993,ENST00000265132,AMBP,ENST00000265132 - AMBP,89.12541367333048,True,True,2,False,True,3
ENST00000265983,10.168512561802837,0.34730457576298696,19.127224201319745,6.97359943276862e-43,7.716132803482194e-39,86.49408731711523,ENST00000265983,HPX,ENST00000265983 - HPX,87.75750532043097,True,True,2,False,True,3
ENST00000509493,13.876294175048919,-4.024261258235205,18.05040263993668,3.708899409440689e-40,3.6934332989033216e-36,80.30560082282918,ENST00000509493,FGB,ENST00000509493 - FGB,81.58650688901083,True,True,2,False,True,3
ENST00000404648,14.167544250210858,-3.3086709993042973,17.971661153106343,5.900603339665441e-40,5.436529635981163e-36,79.93666246990077,ENST00000404648,FGG,ENST00000404648 - FGG,81.1999224250469,True,True,2,False,True,3
ENST00000371129,11.625924599409409,-3.3329831465348874,17.53844879592081,7.688378689140972e-39,6.125054520005804e-35,77.05129520447434,ENST00000371129,ANGPTL3,ENST00000371129 - ANGPTL3,78.77809059717498,True,True,2,False,True,3
ENST00000403106,13.587562203520804,-2.3238501471311075,17.282172039431348,3.545806447372854e-38,2.278077699669232e-34,75.98063434858939,ENST00000403106,FGA,ENST00000403106 - FGA,77.46456118863203,True,True,2,False,True,3
ENST00000311907,12.885718614762208,-3.683157464823056,17.230772116345836,4.82218861542348e-38,3.0013000555607275e-34,75.45413001261429,ENST00000311907,F2,ENST00000311907 - F2,77.18884761514566,True,True,2,False,True,3
ENST00000259396,12.844581085305284,-1.417246341975798,16.88936142616132,3.7439232817236833e-37,1.8641555608194478e-33,73.69637473158532,ENST00000259396,ORM1,ENST00000259396 - ORM1,75.36249990064708,True,True,2,False,True,3
ENST00000232003,13.55392762407932,-4.076109584637916,16.572028927159803,2.5435034105612148e-36,1.101259565799641e-32,71.6638299923468,ENST00000232003,HRG,ENST00000232003 - HRG,73.58626839126825,True,True,2,False,True,3
ENST00000562526,12.525041145421035,-3.8729689605965576,16.13100519911923,3.7088691289647805e-35,1.2959309279638586e-31,68.918111436467,ENST00000562526,HP,ENST00000562526 - HP,71.12090858262981,True,True,2,False,True,3
ENST00000529775,9.689463114651053,-2.6652974088272687,15.796671089058318,2.8638123172481618e-34,9.053556253603928e-31,66.64651753855357,ENST00000529775,HPX,ENST00000529775 - HPX,69.17698024609132,True,True,2,False,True,3
ENST00000308192,13.926117139759448,-4.62069502930119,15.60892800384553,9.065315341641123e-34,2.5429614018778815e-30,65.93220059323784,ENST00000308192,PLG,ENST00000308192 - PLG,68.14422348168065,True,True,2,False,True,3
ENST00000461414,10.413023606970293,-1.515005804571597,15.568428562763522,1.1628253861773854e-33,3.1725380940192485e-30,65.56378440664699,ENST00000461414,PLG,ENST00000461414 - PLG,67.92302086171597,True,True,2,False,True,3
ENST00000527556,9.661690301221503,-2.593287495546776,15.135905677704818,1.6753647224224062e-32,3.475788440687302e-29,62.724880652415656,ENST00000527556,HPX,ENST00000527556 - HPX,65.52914635413966,True,True,2,False,True,3
ENST00000411641,13.929198048281984,-4.660471579612725,14.95600657364354,5.10438068020126e-32,9.960234215409156e-29,61.98657063640051,ENST00000411641,AHSG,ENST00000411641 - AHSG,64.47636710990398,True,True,2,False,True,3
ENST00000273784,11.86852256511695,-3.962199024080421,14.931178340769577,5.953918355767198e-32,1.1293505745187901e-28,61.684947171168936,ENST00000273784,AHSG,ENST00000273784 - AHSG,64.35073984913497,True,True,2,False,True,3
ENST00000528348,9.648008773283816,-3.0994454115163133,14.923545524435369,6.242539673409315e-32,1.1729260911266412e-28,61.37850014376098,ENST00000528348,HPX,ENST00000528348 - HPX,64.31288104456424,True,True,2,False,True,3
ENST00000373968,12.430820924439061,-4.776225330399331,14.515682274285847,7.880926937734679e-31,1.2213717190829106e-27,59.16248824690806,ENST00000373968,MBL2,ENST00000373968 - MBL2,61.96982292380924,True,True,2,False,True,3
