,logFC,AveExpr,t,P.Value,adj.P.Val,B,ensembl_transcript_id,gene_symbol,label,-log(adj.P.Val),is_deg,is_significant,score1,is_membrane,is_surface,score2
ENST00000252244,11.68005937402243,2.1993885532019593,16.149030994893717,3.2967741650609054e-35,6.566053233585203e-30,69.21263468873087,ENST00000252244,KRT1,ENST00000252244 - KRT1,67.1956398633144,True,True,2,False,True,3
ENST00000269576,9.973716305862936,4.254263744711414,15.699583575388175,5.156434578424554e-34,5.134932246232524e-29,66.57142207630491,ENST00000269576,KRT10,ENST00000269576 - KRT10,65.13890104803579,True,True,2,False,True,3
ENST00000376288,11.881040492026937,-3.2354780446297964,13.728399243521197,1.0783726098220276e-28,5.3693789801953486e-24,53.847238926887805,ENST00000376288,CDSN,ENST00000376288 - CDSN,53.581329976169975,True,True,2,False,True,3
ENST00000388718,9.95394144795533,-0.12793864871064148,13.447672374896221,6.2911899741275735e-28,2.5059822847741843e-23,52.368511036299324,ENST00000388718,FLG2,ENST00000388718 - FLG2,52.04077635153859,True,True,2,False,True,3
ENST00000548765,10.613666429552282,-3.4804521478986206,13.058666546504083,7.281093160533177e-27,1.8126827505134383e-22,49.529454926597374,ENST00000548765,KRT1,ENST00000548765 - KRT1,50.062064115335616,True,True,2,False,True,3
ENST00000375819,11.059121399617801,-3.4893321814137463,12.217745007850857,1.4637989360853708e-24,2.0939493332872526e-20,44.56580969311479,ENST00000375819,LY6G6C,ENST00000375819 - LY6G6C,45.31264994386319,True,True,2,False,True,3
ENST00000495859,8.42545890674373,-2.8277794147836106,9.818464762235593,4.8145905815957035e-18,2.591629048038081e-14,30.00523396227814,ENST00000495859,LY6G6C,ENST00000495859 - LY6G6C,31.283904647851262,True,True,2,False,True,3
ENST00000301263,9.082377047920588,-0.8731522228704007,8.657362608653271,5.421560932111272e-15,1.4997091730623245e-11,23.51085912686168,ENST00000301263,LY6D,ENST00000301263 - LY6D,24.923164818249507,True,True,2,False,True,3
ENST00000635956,4.371584863482863,4.170764700919114,8.232256264771125,6.623633248013531e-14,1.319202539473863e-10,21.12380739697314,ENST00000635956,KRT10,ENST00000635956 - KRT10,22.748823512668547,True,True,2,False,True,3
ENST00000525469,7.319068929283183,-3.7113021353249054,8.120321370684056,1.2705709819004984e-13,2.4100432398209013e-10,20.2018495885634,ENST00000525469,CD44,ENST00000525469 - CD44,22.146206240764446,True,True,2,True,True,3
ENST00000428726,9.34110180232661,-3.485267560537039,7.960076203343365,3.209269294843118e-13,5.113418627013796e-10,19.489110296333884,ENST00000428726,CD44,ENST00000428726 - CD44,21.393982742167026,True,True,2,True,True,3
ENST00000370565,7.8642956790603655,-0.8621262645466906,7.688087244725411,1.5205870478636185e-12,2.178771510610111e-09,18.05977642117561,ENST00000370565,CLCA2,ENST00000370565 - CLCA2,19.944504646229635,True,True,2,True,True,3
ENST00000410009,7.073976926198927,-2.777444818218143,7.6409899096101785,1.986106836287286e-12,2.771714488298217e-09,17.6649679884243,ENST00000410009,CD207,ENST00000410009 - CD207,19.703799759372874,True,True,2,True,True,3
ENST00000244333,7.056006925403957,1.5872973922976357,7.406386586586729,7.432838045561918e-12,8.528806937548328e-09,16.57574142578181,ENST00000244333,LYPD3,ENST00000244333 - LYPD3,18.579816351866537,True,True,2,False,True,3
ENST00000382333,8.278417627833221,-1.8822190321201595,7.3529117732489455,1.0015726544291988e-11,1.1144090463242783e-08,16.239512424230348,ENST00000382333,FGFBP1,ENST00000382333 - FGFBP1,18.31235648283829,True,True,2,False,True,3
ENST00000518469,8.29319059140283,-3.9712675306979075,7.093879721879408,4.1874026184612674e-11,4.088177597590474e-08,14.80957384568522,ENST00000518469,LY6D,ENST00000518469 - LY6D,17.012581448357018,True,True,2,False,True,3
ENST00000340107,9.27583962248751,-1.8604372535578846,6.831449389007878,1.7392455245553994e-10,1.539549218416003e-07,13.540309951461088,ENST00000340107,FGFR3,ENST00000340107 - FGFR3,15.686605992696556,True,True,2,True,True,3
ENST00000415148,8.608922155678611,-2.079811820250241,6.6745646709203985,4.022050715176254e-10,3.204223010955175e-07,12.730527398155175,ENST00000415148,CD44,ENST00000415148 - CD44,14.953626020255854,True,True,2,True,True,3
ENST00000299502,7.717419533914091,-1.5974135756225356,6.67358792715443,4.0429713744815005e-10,3.2080575170118824e-07,12.718863331117086,ENST00000299502,SERPINB2,ENST00000299502 - SERPINB2,14.952430031871673,True,True,2,False,True,3
ENST00000639002,7.444770888837514,-3.324789683094515,6.603696944545363,5.854325131101794e-10,4.4333936085970335e-07,12.312278891255005,ENST00000639002,CD44,ENST00000639002 - CD44,14.628930308567002,True,True,2,True,True,3
ENST00000289429,6.763258365721983,-4.03809012572233,6.4887930341577915,1.0711670527263964e-09,7.646597033093387e-07,11.69669785202571,ENST00000289429,CD1A,ENST00000289429 - CD1A,14.083834934362477,True,True,2,False,True,3
ENST00000215885,6.9263827641162035,-2.5304814307409957,6.424299952771199,1.4998412919427811e-09,1.0481311956178103e-06,11.438253275054196,ENST00000215885,PLA2G3,ENST00000215885 - PLA2G3,13.768501793242404,True,True,2,False,True,3
