GSE105951_PD78,GSE64553_MRC5_PD52,GSE63577_BJ,GSE63577_MRC5,GSE63577_HFF,GSE130727_WI38,GSE130727_IMR90,voic_epithelia_sen,GSE109700_early_sen,GSE109700_deep_sen,GSE63577_WI38,GSE64553_HFF_PD74,GSE63577_IMR90
GJD3,TNFSF4,PSG6,TNFSF4,PSG9,PSG9,MIF,ULBP2,TNFSF4,GJD3,PSG8,PSG8,NOMO3
TNFSF4,NOMO3,PSG5,NOMO3,PSG1,PCDHGA8,GJD3,GJD3,GJD3,TNFSF4,PSG9,PSG6,TNFSF4
PSG2,TNFSF18,NOMO3,PSG1,PSG6,MIF,NOMO3,PPIAL4A,PSG2,PSG5,PSG6,PSG1,TNFSF18
ULBP3,PSG5,PSG9,PCDHGB4,PSG8,NOMO3,TNFSF4,ULBP3,ULBP2,ULBP2,NOMO3,PSG3,PSG8
PSG5,PSG1,GJD3,GJD3,PSG5,PSG8,H1-1,NOMO3,PSG5,COLEC10,PCDHGB4,PSG2,GJD3
PSG4,PSG8,TNFSF18,PSG5,PSG11,PCDHGB1,BDNF,ZPLD1,ULBP1,BDNF,TNFSF4,PSG9,BDNF
BDNF,PCDHGB4,PSG3,PSG9,PSG3,PCDHGB4,GPR39,IL1A,BDNF,PSG2,PSG4,PSG7,PSG6
GALNT5,COLEC10,PSG1,PSG8,NOMO3,PSG4,PSG4,FOLR3,H1-1,IL1A,GJD3,PSG5,PSG4
ULBP2,GALNT5,PSG8,TNFSF18,PSG2,COLEC10,PSG11,RAET1G,IL1A,ULBP1,BDNF,PSG11,FBN2
H1-1,BDNF,PCDHGB4,COLEC10,GJD3,GPR39,PCDHGB4,CLCA2,PDCD1LG2,PDCD1LG2,COLEC10,PSG4,TNFRSF11B
COLEC10,PSG9,PSG2,BDNF,FBN2,BDNF,PSG5,SLAMF9,INHBE,TNFRSF10D,GALNT5,NOMO3,PCDHGB4
PDCD1LG2,HLA-G,TNFRSF11B,GALNT5,LRRC15,TNFSF18,GALNT5,TMEM156,ZPLD1,GALNT5,TNFRSF11B,GJD3,GALNT5
CHRNA1,GJD3,PDCD1LG2,PSG6,BDNF,GALNT5,FBN2,AREG,PCDHGB4,PCDHGB4,TNFSF18,INHBE,COLEC10
LRRC15,PSG6,GALNT5,TNFRSF11B,TNFRSF11B,TNFSF4,PSG8,WNT7A,TNFRSF10D,SERPINB2,PSG1,PCDHGB4,HLA-G
RELL1,FBN2,BDNF,PDCD1LG2,PCDHGA8,PCDHGA9,PCDHGA8,SERPINB2,ADAM12,PCDHGB5,TNFRSF10D,TNFRSF11B,PDCD1LG2
NAALADL2,TNFRSF11B,SERPINB2,HLA-G,GALNT5,H1-1,COLEC10,FGFBP1,PRSS35,ZPLD1,PSG5,BDNF,PSG1
ZPLD1,PDCD1LG2,FBN2,FBN2,PDCD1LG2,PSG2,PSG6,MMP13,ITGBL1,PSG1,PSG7,PDCD1LG2,WNT5A
FBN2,HSD17B2,SLC22A4,PSG2,WNT5A,PSG11,TNFRSF11B,,TNFRSF11B,ADAM12,PDCD1LG2,LRRC15,LAMA1
TNFSF18,PSG3,PSG11,PSG3,CORIN,PSG1,PSG7,,ULBP3,PSG9,FBN2,GALNT5,ULBP3
TNFRSF10D,PSG11,WNT5A,HSD17B2,SERPINB2,TNFRSF11B,PSG2,,PTPRQ,H1-1,HLA-G,WNT5A,ITGBL1
TNFRSF11B,PSG2,FAP,PCDHGB1,TNFRSF10D,PCDHGC5,PSG9,,GALNT5,TNFRSF11B,PSG3,ITGA4,PSG7
ULBP1,ULBP3,ITGA4,PSG11,WNT2,ITGBL1,PSG3,,FBN2,TNFRSF10C,ULBP1,PTPRQ,TFPI2
WNT5A,ABCC4,LOXL4,TRHDE,FAP,PDCD1LG2,,,OSCAR,PSG11,ITGBL1,FAP,PLAU
PSG6,PLAU,PTGS2,SCN5A,LOXL4,PSG5,,,FAP,FAP,PSG11,ULBP1,PSG9
SEMA3A,LAMA1,COL11A1,PLAU,TRPC6,PSG6,,,SERPINB2,SUCNR1,TFPI2,LOX,PSG3
