Gene,Ensembl,Gene description,Significant transcript(s),ARCHS4 (gene level),GTEx (gene level),TabulaSapiens (gene level),Total conditions (gene level),CellAge,SenMayo,AgedTissue,DiseaseTissue,Protein.class,Biological.process,Molecular.function,Disease.involvement,Evidence,RNA.tissue.specificity,RNA.tissue.distribution,RNA.tissue.specificity.score,RNA.tissue.specific.nTPM,RNA.single.cell.type.specificity,RNA.single.cell.type.distribution,RNA.single.cell.type.specificity.score,RNA.single.cell.type.specific.nTPM,RNA.cancer.specificity,RNA.cancer.distribution,RNA.cancer.specificity.score,RNA.cancer.specific.FPKM,RNA.brain.regional.specificity,RNA.brain.regional.distribution,RNA.brain.regional.specificity.score,RNA.brain.regional.specific.nTPM,RNA.blood.cell.specificity,RNA.blood.cell.distribution,RNA.blood.cell.specificity.score,RNA.blood.cell.specific.nTPM,RNA.blood.lineage.specificity,RNA.blood.lineage.distribution,RNA.blood.lineage.specificity.score,RNA.blood.lineage.specific.nTPM,RNA.cell.line.specificity,RNA.cell.line.distribution,RNA.cell.line.specificity.score,RNA.cell.line.specific.nTPM,RNA.tissue.cell.type.enrichment,RNA.mouse.brain.regional.specificity,RNA.mouse.brain.regional.distribution,RNA.mouse.brain.regional.specificity.score,RNA.mouse.brain.regional.specific.nTPM,RNA.pig.brain.regional.specificity,RNA.pig.brain.regional.distribution,RNA.pig.brain.regional.specificity.score,RNA.pig.brain.regional.specific.nTPM,Antibody,Reliability..IH.,Reliability..Mouse.Brain.,Reliability..IF.,Subcellular.location,Secretome.location,CCD.Protein,CCD.Transcript,Blood.concentration...Conc..blood.IM..pg.L.,Blood.concentration...Conc..blood.MS..pg.L.,Blood.expression.cluster,Tissue.expression.cluster,Cell.line.expression.cluster,Single.cell.expression.cluster,Subcellular.main.location,Subcellular.additional.location,Antibody.RRID
BDNF,ENSG00000176697,Brain derived neurotrophic factor,ENST00000356660; ENST00000530786; ENST00000533131; ENST00000584049,12,12,12,36,0,0,NA,NA,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins",,Growth factor,"Cancer-related genes, Disease variant",Evidence at protein level,Tissue enhanced,Detected in some,NA,brain: 8.2,Cell type enhanced,Detected in many,NA,Alveolar cells type 1: 20.7;Bipolar cells: 9.8;Cardiomyocytes: 11.6;Excitatory neurons: 22.0;Skeletal myocytes: 7.9;Smooth muscle cells: 13.1;Theca cells: 8.1,Low cancer specificity,Detected in some,NA,,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,"Lung - Alveolar cells type 1, Testis - Early spermatids",Low region specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,CAB009564,Enhanced,,,,Secreted to blood,NA,Yes,1.60E+07,24000,,Cluster 10: Brain - Neuronal signaling,Cluster 20: Connective tissue cells - ECM organization,Cluster 18: Non-specific - Mixed function,,,CAB009564: AB_2064213
CPA4,ENSG00000128510,Carboxypeptidase A4,ENST00000222482; ENST00000493259,10,13,13,36,1,0,NA,NA,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,"Carboxypeptidase, Hydrolase, Metalloprotease, Protease",,Evidence at protein level,Tissue enhanced,Detected in many,NA,esophagus: 21.6;skin 1: 57.1,Cell type enhanced,Detected in some,NA,Basal keratinocytes: 12.0;Basal respiratory cells: 23.8;Exocrine glandular cells: 46.9;Squamous epithelial cells: 11.6;Suprabasal keratinocytes: 20.1,Cancer enhanced,Detected in many,NA,cervical cancer: 10.0;head and neck cancer: 9.8,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,Bone cancer: 165.5,Adipose visceral - Mesothelial cells,Not detected,Not detected,NA,,Not detected,Not detected,NA,,HPA021030,,,Approved,"Nucleoplasm,Centrosome,Cytosol",Secreted in other tissues,NA,Yes,NA,390000,,Cluster 31: Skin - Epidermis development,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 74: Pancreatic cells - Mixed function,Nucleoplasm,"Centrosome, Cytosol",HPA021030: AB_1846010
TNFRSF11B,ENSG00000164761,TNF receptor superfamily member 11b,ENST00000297350; ENST00000517352; ENST00000521597,12,12,12,36,0,1,Blood.Vessel; Brain,NA,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Apoptosis,Receptor,"Cancer-related genes, Disease variant",Evidence at protein level,Group enriched,Detected in many,5,kidney: 29.9;thyroid gland: 101.8,Cell type enhanced,Detected in many,NA,Breast glandular cells: 130.5;Collecting duct cells: 65.0;Pancreatic endocrine cells: 32.6;Proximal tubular cells: 107.7;Thymic epithelial cells: 81.8,Cancer enhanced,Detected in all,NA,renal cancer: 22.7,Low region specificity,Detected in all,NA,,Immune cell enriched,Detected in single,40,plasmacytoid DC: 3.9,Lineage enriched,Detected in single,40,dendritic cells: 3.9,Low cancer specificity,Detected in many,NA,,Thyroid - Thyroid glandular cells,Low region specificity,Detected in all,NA,,,,NA,,"CAB034939, HPA058613",Approved,,Approved,"Nucleoplasm,Nucleoli,Golgi apparatus",Secreted in other tissues,NA,NA,NA,NA,Cluster 47: Plasmacytoid DCs - Protein folding,Cluster 7: Kidney - Transmembrane transport,Cluster 20: Connective tissue cells - ECM organization,Cluster 30: Breast - Lactation,Golgi apparatus,"Nucleoplasm, Nucleoli","CAB034939: , HPA058613: "
FGF5,ENSG00000138675,Fibroblast growth factor 5,ENST00000312465; ENST00000456523; ENST00000503413,11,12,12,35,0,0,Nerve,NA,"Disease related genes, Human disease related genes, Predicted secreted proteins, RAS pathway related proteins",,"Growth factor, Mitogen","Disease variant, Proto-oncogene",Evidence at protein level,Group enriched,Detected in some,5,brain: 11.7;gallbladder: 3.4,Cell type enhanced,Detected in some,NA,Excitatory neurons: 9.3;Exocrine glandular cells: 4.3;Melanocytes: 1.7;Microglial cells: 1.8;Proximal tubular cells: 3.9,Not detected,Not detected,NA,,Region enhanced,Detected in many,NA,cerebellum: 11.7,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,thyroid cancer: 22.5,Kidney - Proximal tubular cells,Low region specificity,Detected in some,NA,,Not detected,Not detected,NA,,,,,,,Secreted in brain,NA,NA,NA,NA,,Cluster 69: Cerebellum - Gene expression regulation,Cluster 20: Connective tissue cells - ECM organization,Cluster 38: Neurons - Neuronal signaling,,,
MMP1,ENSG00000196611,Matrix metallopeptidase 1,ENST00000315274,12,13,8,33,0,1,NA,Idiopathic.Pulmonary.Fibrosis,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Human disease related genes, Plasma proteins, Predicted secreted proteins","Collagen degradation, Host-virus interaction","Hydrolase, Metalloprotease, Protease",Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,gallbladder: 75.7;stomach 1: 47.6;urinary bladder: 52.2,Cell type enhanced,Detected in some,NA,Basal respiratory cells: 78.6;Cholangiocytes: 32.7;Ductal cells: 106.7;Exocrine glandular cells: 66.2;Gastric mucus-secreting cells: 24.4;Pancreatic endocrine cells: 84.2,Cancer enhanced,Detected in many,NA,head and neck cancer: 344.2,Region enriched,Detected in single,7,cerebral cortex: 1.3,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Group enriched,Detected in many,6,ovarian cancer: 408.7;Sarcoma: 782.4;skin cancer: 588.5;thyroid cancer: 1539.1,Pancreas - Ductal cells,Not detected,Not detected,NA,,,,NA,,HPA004920,,,Approved,Vesicles,Secreted to extracellular matrix,NA,NA,7730000,55000,,Cluster 12: Smooth muscle tissue - Mixed function,Cluster 3: HUVEC & TIME - Signal transduction,Cluster 74: Pancreatic cells - Mixed function,Vesicles,,HPA004920: AB_2667293
PDCD1LG2,ENSG00000197646,Programmed cell death 1 ligand 2,ENST00000397747,12,11,9,32,1,0,Blood.Vessel,NA,"Cancer-related genes, CD markers, Predicted membrane proteins, Predicted secreted proteins","Adaptive immunity, Immunity",Receptor,Cancer-related genes,Evidence at protein level,Tissue enhanced,Detected in many,NA,lymphoid tissue: 15.1,Cell type enhanced,Detected in some,NA,Extravillous trophoblasts: 21.9;Fibroblasts: 7.3;granulocytes: 12.6;Langerhans cells: 14.1;Leydig cells: 6.9;Microglial cells: 11.9,Low cancer specificity,Detected in many,NA,,Low region specificity,Detected in some,NA,,Low immune cell specificity,Detected in some,NA,,Low lineage specificity,Detected in many,NA,,Low cancer specificity,Detected in many,NA,,"Breast - Fibroblasts, Kidney - Endothelial cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts",Not detected,Not detected,NA,,Low region specificity,Detected in all,NA,,HPA013411,Approved,,Uncertain,Cytosol,Secreted - unknown location,NA,NA,NA,3.10E+07,Cluster 46: Basophils - DNA binding,Cluster 16: Immune cells - Immune response,Cluster 20: Connective tissue cells - ECM organization,Cluster 23: Langerhans cells - Immune response,Cytosol,,HPA013411: AB_1855102
PSG5,ENSG00000204941,Pregnancy specific beta-1-glycoprotein 5,ENST00000342951; ENST00000366175,9,12,9,30,1,0,NA,NA,Predicted secreted proteins,,,,Evidence at protein level,Tissue enriched,Detected in some,63,placenta: 111.8,Cell type enriched,Detected in some,39,Syncytiotrophoblasts: 702.8,Cancer enhanced,Detected in single,NA,urothelial cancer: 0.5,Region enhanced,Detected in single,NA,cerebellum: 1.7,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in many,NA,,Pancreas - Ductal cells,,,NA,,,,NA,,HPA046327,Supported,,,,Secreted in female reproductive system,NA,NA,NA,2.20E+07,,Cluster 28: Placenta - Pregnancy,Cluster 20: Connective tissue cells - ECM organization,Cluster 67: Syncytiotrophoblasts - Pregnancy,,,HPA046327: AB_2679624
CEMIP,ENSG00000103888,Cell migration inducing hyaluronidase 1,ENST00000220244; ENST00000356249; ENST00000394685; ENST00000495041,9,9,11,29,0,0,Adipose; Blood.Vessel,NA,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,"Glycosidase, Hydrolase",,Evidence at protein level,Tissue enhanced,Detected in many,NA,choroid plexus: 25.3;endometrium 1: 31.9,Group enriched,Detected in some,8,Excitatory neurons: 61.7;Inhibitory neurons: 39.4;Microglial cells: 98.5;Thymic epithelial cells: 68.9,Cancer enhanced,Detected in all,NA,colorectal cancer: 21.3,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in all,NA,,Testis - Sertoli cells,Low region specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,HPA079449,,,Supported,"Nuclear membrane,Nucleoli fibrillar center,Endoplasmic reticulum",Secreted in other tissues,NA,NA,NA,1700000,Cluster 4: T-regs - Cell cycle regulation,Cluster 42: Ciliated cells - Cilium & Cell projection,Cluster 20: Connective tissue cells - ECM organization,Cluster 38: Neurons - Neuronal signaling,Nucleoli fibrillar center,"Nuclear membrane, Endoplasmic reticulum",HPA079449: 
STC2,ENSG00000113739,Stanniocalcin 2,ENST00000519511,9,8,12,29,1,0,NA,NA,"Predicted intracellular proteins, Predicted secreted proteins",,Hormone,,Evidence at protein level,Tissue enriched,Detected in many,4,breast: 143.6,Cell type enhanced,Detected in many,NA,Breast glandular cells: 239.4;Breast myoepithelial cells: 120.9;Exocrine glandular cells: 41.5;Extravillous trophoblasts: 63.8;Pancreatic endocrine cells: 53.2,Cancer enriched,Detected in all,6,breast cancer: 91.4,Low region specificity,Detected in many,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Low cancer specificity,Detected in all,NA,,Skin - Macrophages,Low region specificity,Detected in single,NA,,Low region specificity,Detected in some,NA,,HPA045372,Approved,,Approved,Endoplasmic reticulum,Secreted in other tissues,NA,NA,NA,1.90E+07,,Cluster 5: Breast - Unknown function,Cluster 20: Connective tissue cells - ECM organization,Cluster 73: Prostatic glandular cells - Transcription,Endoplasmic reticulum,,HPA045372: AB_10961040
WNT5A,ENSG00000114251,Wnt family member 5A,ENST00000474267; ENST00000493406,11,5,12,28,1,0,NA,NA,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins","Chondrogenesis, Differentiation, Wnt signaling pathway",Developmental protein,"Disease variant, Dwarfism",Evidence at protein level,Tissue enhanced,Detected in many,NA,endometrium 1: 27.4;salivary gland: 34.4,Cell type enhanced,Detected in many,NA,Club cells: 53.4;Endometrial stromal cells: 92.8;Serous glandular cells: 60.3,Low cancer specificity,Detected in all,NA,,Low region specificity,Detected in all,NA,,Not detected in immune cells,Not detected,NA,,Not detected,Not detected,NA,,Cancer enhanced,Detected in many,NA,cervical cancer: 182.9,Liver - Hepatocytes,Low region specificity,Detected in all,NA,,Low region specificity,Detected in many,NA,,,,,,,Secreted to extracellular matrix,NA,NA,NA,NA,,Cluster 12: Smooth muscle tissue - Mixed function,Cluster 20: Connective tissue cells - ECM organization,Cluster 21: Serous glandular cells - Salivary secretion,,,
